seq_id,sequence_step,space_name,space_type,is_mandatory,is_optional,min_depth_m,typical_depth_m,width_relationship,visual_termination,privacy_transition,transition_element,facing_n_description,facing_s_description,facing_e_description,facing_w_description,vastu_significance,traditional_tn_element,modern_adaptation,drawing_annotation,bhk_applicability,plot_area_min_sqm
11,4,Main Door,MAIN_DOOR,1,0,0.2,0.25,NARROWER,Grand double-leaf door with ornamental handle visible and interior foyer or living room partially visible beyond,SEMI_PUBLIC → SEMI_PRIVATE,Grand threshold in polished granite with brass inlay strip and 30mm step into interior,Premium north house grand door 1.2m wide facing south with carved frame arch detail and hanging brass lamp,Premium south house double door with tall frame and overhead canopy protecting ornate carving from rain damage,Premium east house main door receiving first morning light highlighting traditional carved deity panel on door,Premium west house main door with frosted glass panel allowing interior light to glow outward during evening welcome,Grand door must have even number of panels and no crack between leaves — vastu requires complete boundary at threshold,Grand teak double door with Lakshmi panel carving brass knocker ring oil lamp bracket and toran hook on frame,Premium main door with solid wood core designer veneer biometric lock video doorbell and accent LED lighting,╔═══ GRAND DOOR ═══╗,"3BHK,4BHK",80
12,5,Foyer,FOYER,0,1,1,1.5,SAME_WIDTH,Small entry hall with shoe storage visible and living room archway ahead creating controlled interior reveal,SEMI_PRIVATE → SEMI_PRIVATE,Change in floor pattern or level from door threshold to foyer interior flooring,North house foyer opens south into living with shoe niche on east wall and mirror or deity image on south wall,South house foyer with coat hook area on west wall and living room visible through archway straight ahead,East house foyer receiving indirect morning light through main door with living room opening on south side,West house foyer with accent wall art on east wall facing main door creating visual focus as one enters home,Foyer is the antechamber of the griha — first interior space must be clean bright and free of clutter per vastu,Traditional entry with brass urli water bowl small deity niche and overhead hanging oil lamp in teak frame,Modern foyer with console table accent wall designer mirror shoe cabinet and pendant light for welcoming ambiance,┌─ FOYER ─┐,"2BHK,3BHK,4BHK",60
13,5,Entry Niche,FOYER,0,1,0.5,0.8,NARROWER,Compact entry space barely separating door from living with small shelf for keys and deity photo on wall,SEMI_PRIVATE → SEMI_PRIVATE,Subtle floor pattern change or threshold strip marking entry zone in compact layout,Compact north foyer niche with small deity shelf on east wall and direct view into living room beyond,Compact south foyer with mirror on north wall reflecting light and making small entry feel more spacious,Compact east entry niche with morning light spilling from door into small shoe shelf area before living,Compact west entry with overhead light compensating for limited natural light and small utility hook rack,Even small entry niche must be kept clean and bright — cluttered entry blocks positive energy per vastu belief,Small wooden shelf with deity photo small brass lamp and hook for umbrella at entry point in compact TN home,Modern compact entry with wall-mounted key holder shoe tray sensor light and minimalist deity frame on wall,┌ENTRY┐,"1BHK,2BHK",30
14,6,Living Room,LIVING,1,0,3,3.6,WIDER,Full interior view with furniture arrangement visible natural light from windows and doors to other rooms apparent,SEMI_PRIVATE → SEMI_PRIVATE,Archway or wide opening from foyer to living marking transition from entry to social zone,North-facing living with large north windows providing even diffused daylight throughout the day for comfortable ambiance,South-facing living with controlled south light through high windows and cross-ventilation from north windows behind,East-facing living filled with morning sun through east windows creating bright welcoming atmosphere for visitors,West-facing living with west wall minimized for windows and cross-vent from east side to manage afternoon heat,Living room is the heart of the griha — must be well-lit airy and the largest space reflecting family prosperity,Traditional living with wooden swing jhula in corner brass lamp stands kolam-patterned tile and family deity photo wall,Modern living with modular sofa entertainment unit accent lighting and minimalist decor in contemporary TN apartments,╔═══ LIVING ═══╗,"1BHK,2BHK,3BHK,4BHK",30
15,6,Living Room,LIVING,1,0,3.6,4.5,WIDER,Grand living vista with courtyard visible beyond formal seating visible and ceiling height emphasizing spaciousness,SEMI_PRIVATE → SEMI_PRIVATE,Ceiling height change or coffered ceiling detail marking living room as primary interior space,Grand north living with double-height ceiling north windows and courtyard visible creating layered depth experience,Grand south living with clerestory windows on north side bringing indirect light and courtyard connection on west,Grand east living with floor-to-ceiling east glass wall flooding space with morning light and garden view beyond,Grand west living with controlled west light through louvered panels and internal courtyard providing balanced light,Spacious living attracts abundance — vastu prescribes living should feel expansive with no low beams crossing overhead,Grand living with carved wooden ceiling teak jhula brass urli centerpiece and rangoli tile pattern near entry arch,Premium living with Italian marble floor coffered false ceiling designer chandelier and home automation controls,╔════ GRAND LIVING ════╗,"3BHK,4BHK",100
16,7,Dining Area,TRANSITION,1,0,2.4,3,SAME_WIDTH,Dining table visible with kitchen entry beyond and living room behind marking transition from social to service zone,SEMI_PRIVATE → SERVICE,Change in floor material from living wood or tile to dining easy-clean vitrified surface,North house dining on south side of living with kitchen entry on east wall leading to southeast kitchen zone,South house dining adjacent to living with kitchen archway on east side and serving counter between spaces,East house dining with morning light from east window and kitchen entry on south wall for convenient food service,West house dining on east side away from hot west wall with kitchen access through south or east side passage,Dining is where family nourishment occurs — must be in west or south direction for proper digestion per vastu,Traditional dining with low table or high table wooden chairs and serving shelf niche between dining and kitchen,Modern dining with four or six seater table pendant light serving hatch to kitchen and display unit for crockery,├── DINING ──┤,"1BHK,2BHK,3BHK,4BHK",30
17,7,Kitchen Corridor,TRANSITION,0,1,0.9,1.2,NARROWER,Short passage between dining and kitchen with service counter or shelf visible marking entry to service zone,SERVICE → SERVICE,Threshold strip or floor level change of 25mm marking entry into wet service kitchen zone,North house kitchen corridor on east side connecting dining to southeast kitchen with ventilation window above,South house kitchen passage with overhead exhaust duct and fire extinguisher niche per safety requirements,East house kitchen corridor receiving indirect light from kitchen east window with provisions shelf on side wall,West house kitchen approach corridor on east side of kitchen avoiding west wall heat zone for comfortable access,Kitchen entry should face east if possible — cook should face east while preparing food for auspicious energy flow,Traditional kitchen entrance with brass threshold strip stone mortar niche and overhead spice rack at entry,Modern kitchen corridor with sliding door track overhead exhaust vent and waterproof flooring at wet-dry boundary,──→ KITCHEN,"2BHK,3BHK,4BHK",60
18,8,Bedroom Passage,TRANSITION,1,0,0.9,1.05,NARROWER,Corridor leading to bedroom doors with passage lighting and bedroom doors visible at intervals along the corridor,SEMI_PRIVATE → PRIVATE,Change from living zone flooring to corridor carpet or different tile marking private wing,North house bedroom passage along south wall with bedroom doors on west and south sides for maximum privacy,South house bedroom passage on north side of private wing with bedroom doors opening south and west for vastu,East house bedroom corridor on west side with bedroom doors facing east for morning light and west for master,West house bedroom passage on east side with bedroom doors on south and west with master at southwest end,Bedroom passage is the final threshold — crossing from living to this corridor enters the most private family domain,Traditional passage with family photo wall overhead brass lamp and decorative arched niches at bedroom entries,Modern bedroom corridor with recessed LED strips sensor night lighting and acoustic-rated bedroom doors along sides,──→ BEDROOMS,"2BHK,3BHK,4BHK",50
19,8,Bedroom Passage,TRANSITION,1,0,1.05,1.2,NARROWER,Wide passage with display niches bedroom doors recessed into alcoves and master suite at far end for hierarchy,SEMI_PRIVATE → PRIVATE,Accent wall or artwork marking entry to private family wing with softer lighting transition,Grand north house passage with display niches on south wall master suite door at southwest end of corridor,Grand south house passage along central axis with bedrooms alternating on both sides and master at far end,Grand east house passage with accent lighting on east wall and master suite double door at south end for prominence,Grand west house passage with gallery wall on east side and master suite at southwest corner for vastu compliance,The private corridor must feel calm and secure — vastu prescribes warm earth tones and minimal clutter in this zone,Wide passage with teak wall paneling recessed deity niche family photo gallery and decorative ceiling molding,Premium passage with Italian marble floor concealed lighting display alcoves and smart home panels at bedroom entries,══→ PRIVATE WING,"3BHK,4BHK",100
20,3,Verandah,VERANDAH,1,0,1.2,1.5,SAME_WIDTH,Compact verandah serving dual purpose of entry transition and evening sit-out on narrow urban plot frontage,PUBLIC → SEMI_PUBLIC,Floor level change 150mm from pathway to verandah with anti-skid strip at edge for safety,Compact north verandah 1.2m deep spanning half the plot width with shoe rack niche and small kolam space,Compact south verandah with overhead sunshade extending 0.6m beyond verandah edge for additional sun protection,Compact east verandah with morning sun making small space feel larger and warm for brief morning social interactions,Compact west verandah with bamboo blind or vertical garden on west edge providing natural cooling and shade,Even compact verandah must be clean and welcoming — it represents the face of the household to the neighborhood,Small thinnai-style verandah with polished concrete seat narrow granite floor and simple wooden column support,Compact modern verandah with composite deck flooring built-in planter box and wall-mounted folding bench for sit-out,▓ VERANDAH ▓,"1BHK,2BHK",30
21,4,Main Door,MAIN_DOOR,1,0,0.15,0.2,NARROWER,Standard single-leaf door with simple handle lock and small window panel allowing interior light to show at night,SEMI_PUBLIC → SEMI_PRIVATE,Simple brass threshold strip with 20mm step from verandah to interior floor level,North 1BHK main door simple teak single-leaf with brass handle and small ventilator panel above door frame,South 1BHK door with overhead shade canopy and peephole for identifying visitors before opening in hot climate,East 1BHK door receiving morning light with traditional lime wash surround and small deity image above frame,West 1BHK door with frosted glass panel allowing evening light in while maintaining privacy from street view,Single-leaf door must be right-hand opening — left-hand opening at main entry is considered inauspicious per vastu,Single-leaf teak door with simple carving brass handle mango leaf toran on frame and small kolam at threshold,Modern single door with flush finish digital pin lock weather strip and motion sensor porch light above frame,╔═ DOOR ═╗,1BHK,30
22,6,Living Room,LIVING,1,0,3,3.3,WIDER,Compact living room with multipurpose furniture visible and kitchen counter or pass-through creating open feel,SEMI_PRIVATE → SEMI_PRIVATE,Open transition from foyer area with no physical barrier just spatial proportion change,Compact north living with north window for daylight and south wall holding TV unit and bedroom door adjacent,Compact south living with high south window and north interior wall maximized for storage and display shelving,Compact east living bright with morning sun through east window making small space feel airy and spacious,Compact west living with east-facing window for morning light and west wall used for solid storage to block heat,Even small living must feel spacious — vastu recommends keeping center clear and furniture against walls for energy flow,Compact living with wall-mounted wooden shelf swing hook on ceiling and floor seating option for traditional meals,Modern compact living with modular furniture wall-mounted entertainment unit and multi-function space-saving design,╔═ LIVING ═╗,1BHK,30
23,7,Combined Dining,TRANSITION,1,0,2,2.4,SAME_WIDTH,Open-plan dining within living space with dining table adjacent to kitchen counter creating efficient service flow,SEMI_PRIVATE → SERVICE,Subtle floor pattern change or area rug marking dining zone within combined living-dining space,North 1BHK combined dining at south end of living near kitchen entry with compact four-seater table arrangement,South 1BHK dining area near kitchen on east side with window providing natural light for pleasant meal ambiance,East 1BHK dining spot near kitchen with morning light making breakfast area bright and inviting for daily use,West 1BHK dining near kitchen on east side positioned away from hot west wall for comfortable meal experience,Dining direction should face east or west per vastu — family should face east while eating for digestive health,Combined dining with folding table against wall small serving shelf and hanging plate rack in compact TN home,Modern combined dining with wall-mounted folding table pendant light and open shelf divider between kitchen-living,├─ DINING ─┤,1BHK,30
24,2,Covered Walkway,PATHWAY,0,1,1,1.8,NARROWER,Covered pathway connecting car porch to verandah protecting residents from rain during monsoon season movement,PUBLIC → PUBLIC,Covered overhead transition from open car area to semi-enclosed verandah approach with side railings,North covered walkway along east side connecting car porch to verandah with garden view on both sides visible,South covered walkway with louvered side panels blocking horizontal rain while allowing cross-ventilation through,East covered walkway with morning light filtering through translucent roofing sheet creating pleasant dappled walk,West covered walkway with solid west wall blocking afternoon sun and open east side for garden ventilation path,Covered pathway maintains unbroken entry sequence — getting wet between car and house breaks arrival auspiciousness,Traditional covered walkway with RCC sloping roof masonry columns and open sides with decorative railing detail,Modern covered walkway with steel frame polycarbonate sheet roof cable railing and integrated drainage gutter system,──→ COVERED,"3BHK,4BHK",100
25,5,Transitional Space,TRANSITION,0,1,0.6,1,NARROWER,Brief pause space between main door and living allowing eyes to adjust from bright exterior to interior lighting,SEMI_PRIVATE → SEMI_PRIVATE,Ceiling height reduction of 150mm from exterior verandah height to interior room height,North house transition with deity image on wall facing entrant as first interior visual creating sacred welcome,South house transition with mirror on north wall reflecting incoming light and making compact space feel larger,East house transition with morning backlight silhouetting deity image creating dramatic spiritual welcome moment,West house transition with warm-toned accent light on east wall compensating for limited western natural light,This transition is where outdoor energy becomes indoor energy — vastu requires positive first-view deity or water element,Small niche with oil lamp deity photo brass urli and overhead carved wooden bracket at interior threshold point,Modern transition zone with accent light on feature wall small console table and decorative elements for first view,──┤ENTRY├──,"2BHK,3BHK",50
26,8,Bedroom Entry,TRANSITION,1,0,0,0.3,NARROWER,Single bedroom door visible from living room with minimal transition space typical of compact 1BHK floor plans,SEMI_PRIVATE → PRIVATE,Simple door threshold marking privacy boundary between living area and single bedroom space,North 1BHK bedroom door on south wall of living room with door hinge on east side per vastu door-opening rules,South 1BHK bedroom door on west wall of living with bedroom behind receiving north light for pleasant sleeping,East 1BHK bedroom door on south or west wall with bedroom positioned for quiet sleeping away from east entry zone,West 1BHK bedroom door on south wall with bedroom on south side getting cross-ventilation from two external walls,Bedroom door must open clockwise — anticlockwise opening is considered inauspicious for private room entry per vastu,Simple bedroom door with teak frame brass handle and small deity symbol or om carved on door top panel in TN homes,Modern bedroom door with flush panel finish quality brass or steel handle acoustic seal strip and pivot hinge option,→ BED,1BHK,30
27,1,Main Gate,GATE,1,0,0.4,0.7,SAME_WIDTH,Mid-size gate with approach pathway visible beyond and house partially screened by garden or compound wall return,PUBLIC → PUBLIC,Gate pillar with name plate light fixture and intercom or bell button at visitor-accessible height,North mid-plot gate with garden visible on both sides and house facade partially revealed creating curiosity,South mid-plot gate with overhead canopy and side pillar providing shade while visitor waits for door response,East mid-plot gate receiving morning sun with brass name plate catching light and traditional bell at side pillar,West mid-plot gate with tinted overhead panel and garden buffer reducing glare for both visitor and interior view,Mid-size plots benefit from slightly offset gate — angled approach prevents direct road energy hitting the house per vastu,Mid-size gate with masonry pillars wrought iron leaf design and small overhead traditional tile roof shelter,Modern mid-gate with CNC-cut metal panel design video doorbell call button and accent pillar lighting for evening,═ GATE ═,"2BHK,3BHK",60
28,3,Traditional Verandah,VERANDAH,1,0,1.8,2.4,SAME_WIDTH,Grand thinnai verandah with carved columns visible raised platform for traditional sitting and ornate ceiling work,PUBLIC → SEMI_PUBLIC,Grand 300mm platform rise with carved stone steps and polished granite floor on raised verandah level,Grand north thinnai spanning full width with carved granite columns raised platform and overhead carved wood ceiling,Grand south thinnai with 2.4m depth for sun shield carved stone bench and overhead fan for hot-weather comfort,Grand east thinnai in morning sunlight with brass hanging lamps carved column capitals and traditional tile floor,Grand west thinnai with bamboo roller blinds for afternoon sun and carved stone backrest bench for extended sitting,Grand thinnai is where the household demonstrates status — ornate columns and finish reflect family standing per tradition,Chettinad-style thinnai with carved teak columns Burma teak ceiling hand-laid Athangudi tile and stone platform,Contemporary grand verandah with designer column cladding imported stone floor concealed speakers and smart lighting,▓▓▓▓ GRAND THINNAI ▓▓▓▓,4BHK,150
29,6,Living with Courtyard,LIVING,1,0,3.6,4.2,WIDER,Living room opening onto internal courtyard with natural light flooding from above and sky visible through roof opening,SEMI_PRIVATE → SEMI_PRIVATE,Large archway or fully open wall connecting indoor living to courtyard creating extended social space,North living opening to central courtyard with light well visible creating dramatic interior illumination effect,South living with courtyard on north side bringing indirect north light deep into the living space for comfort,East living with courtyard creating cross-ventilation path from east entry through living into central open space,West living with courtyard buffer reducing west heat while bringing controlled daylight into interior social zone,Courtyard is Brahmasthana center of the house — living adjacent to it receives the most positive energy per vastu,Traditional mutram-connected living with carved archway stone-paved courtyard with tulasi and brass oil lamp stand,Modern courtyard living with retractable glass roof landscaped courtyard planter and seamless indoor-outdoor flooring,╔═══ LIVING ←→ COURTYARD ═══╗,"3BHK,4BHK",100
30,7,Service Entry,TRANSITION,1,0,0.6,0.9,NARROWER,Transition from dining to kitchen with serving counter visible and change from guest-zone to household-zone atmosphere,SERVICE → SERVICE,Counter or half-wall with pass-through serving window marking boundary between dining and kitchen zones,North house service entry with pass-through counter on east wall and kitchen visible beyond for convenient serving,South house service transition with overhead ventilation duct visible and fire safety equipment niche at entry,East house service entry with morning light from kitchen window visible through pass-through creating bright welcome,West house service approach on east wall with kitchen set away from hot west wall for comfortable cooking environment,Kitchen entry transition must be clean and obstacle-free — blocked kitchen entry creates health and safety issues per vastu,Traditional service entry with wooden half-door brass threshold and overhead shelf for daily-use vessels and spices,Modern service transition with quartz counter pass-through overhead cabinet and water-resistant flooring at boundary,──→ SERVICE,"1BHK,2BHK,3BHK,4BHK",30
31,2,Side Pathway,PATHWAY,0,1,0.75,1,NARROWER,Narrow side passage along compound wall leading to service entrance at rear for domestic help and delivery access,PUBLIC → SERVICE,Change from front garden paving to utilitarian concrete pathway marking transition to service approach,North plot side path on east boundary leading to southeast service entrance behind kitchen for maid and delivery,South plot side path on east side connecting to service door avoiding need for service staff to use main gate entry,East plot side path on south boundary leading to utility room service door at rear of house away from entry zone,West plot side path on south side connecting to kitchen service exit for LPG delivery and waste disposal access,Service pathway must not cross main entry axis — domestic help approach should be separate from family arrival path,Narrow concrete side passage with compound wall on one side and house wall on other with overhead drain pipe routing,Modern side path with anti-skid pavers accent lighting sensor gate and separate service entrance intercom system,···→ SERVICE,"2BHK,3BHK,4BHK",50
32,8,Bedroom Zone Entry,TRANSITION,1,0,0.5,0.9,NARROWER,Simple turn or short passage from living leading to two bedroom doors marking clear boundary of private family zone,SEMI_PRIVATE → PRIVATE,L-turn in circulation path preventing direct sightline from living into bedroom when doors open,North 2BHK bedroom zone entry turning south from living with master bedroom door on west and bedroom 2 on south,South 2BHK bedroom entry turning west from living with bedrooms on west side away from south road and sun exposure,East 2BHK bedroom zone turning south from living with bedrooms on south and west walls for quiet sleeping position,West 2BHK bedroom entry turning east from living ensuring bedroom doors face away from hot west afternoon sun,L-turn at bedroom zone entry is architecturally ideal — prevents direct visual axis from public to private per vastu,Simple passage turn with family photo on wall overhead tube light and two bedroom doors visible around the corner,Modern L-turn passage with accent wall recessed lighting and acoustic door transition into quiet bedroom zone,─┐→ BEDS,2BHK,40
33,4,Main Door,MAIN_DOOR,1,0,0.2,0.25,NARROWER,Decorated main door with traditional toran festoon and kolam visible at threshold base marking sacred house entry,SEMI_PUBLIC → SEMI_PRIVATE,Ornamental brass threshold with mango leaf toran above and kolam powder design at base step,North plot decorated door with toran overhead kolam at base and brass door knocker ring at center panel of door,South plot main door with toran and overhead deepam lamp lit during evening creating warm welcoming glow for visitors,East plot main door catching morning sun on toran making mango leaves glow golden creating auspicious entry light,West plot main door with small canopy over toran protecting decoration from afternoon rain and sun damage exposure,Toran and kolam at door are daily renewal rituals — fresh kolam each morning invites Lakshmi into home per tradition,Toran of fresh mango leaves above door handmade kolam at threshold and small brass oil lamp lit daily at door frame,Modern adaptation uses permanent decorative toran in brass or copper with rangoli sticker and electronic diya lamp,╔═ 🚪 ═╗,"2BHK,3BHK,4BHK",40
34,5,Grand Foyer,FOYER,0,1,1.5,2,SAME_WIDTH,Spacious entry hall with double-height ceiling statement lighting and gallery view creating impressive first interior,SEMI_PRIVATE → SEMI_PRIVATE,Grand floor medallion or compass pattern in marble marking center of foyer as architectural feature,Grand north foyer with double-height ceiling large deity niche on south wall and staircase partially visible beyond,Grand south foyer with clerestory north window bringing light into deep interior and accent wall on east side visible,Grand east foyer with morning light flooding through high east window and living room grand archway visible ahead,Grand west foyer with warm accent lighting compensating for western exposure and art display wall greeting visitors,Grand foyer must feel abundant — high ceiling and good lighting create prosperity impression per vastu entrance principles,Grand foyer with marble floor inlay teak staircase visible brass chandelier and large deity or nature painting on wall,Premium foyer with designer marble Italian chandelier accent art display and architectural feature staircase as backdrop,╔═══ GRAND FOYER ═══╗,4BHK,150
35,1,Main Gate,GATE,1,0,0.3,0.6,SAME_WIDTH,East-facing gate with morning sun highlighting house facade and traditional kolam visible at compound threshold,PUBLIC → PUBLIC,Gate pillar with east-facing deity niche receiving morning sun as first auspicious element,North gate alternative position at northeast corner for vastu compliance when road runs along both N and E sides,South gate at southeast corner for corner plots where south road is primary access with east road as secondary,East primary gate position with morning sun blessing entry and brass Ganesha image on right gate pillar face,West gate at northwest corner position when west road is primary with overhead sun shield for afternoon visitors,East-facing gate is most auspicious per vastu — morning sun energy enters home directly through primary opening,East gate with carved stone Ganesha on right pillar brass bell on left pillar and kolam at compound threshold,Modern east gate with backlit house number stainless steel Ganesha motif and automated swing mechanism,☼ GATE ═══,"2BHK,3BHK,4BHK",50
