path_id,from_space,to_space,path_type,movement_direction,min_passage_width_m,max_hops_from_entrance,privacy_level,bhk_applicability,facing_dependency,reason,nbc_reference,vastu_basis,violation_consequence,graph_edge_weight,is_critical_path
20,staircase,terrace,DIRECT_ENTRY,BIDIRECTIONAL,0.9,3,SEMI_PRIVATE,"2BHK,3BHK,4BHK",ANY,Terrace access via staircase is essential for clothes drying water tank access and evening leisure in TN homes,NBC 2016 Part 4 Sec 6,0,Terrace becomes inaccessible — residents cannot dry clothes maintain water tanks or use rooftop space,0.7,0
21,living,courtyard,DIRECT_ENTRY,BIDIRECTIONAL,1.2,2,PUBLIC,"3BHK,4BHK",ANY,Internal courtyard connected to living brings natural light and ventilation central to traditional Tamil Nadu architecture,NBC 2016 Part 8 Sec 2,1,Courtyard isolated from living loses its role as light well and social gathering space in the house,0.65,0
22,verandah,courtyard,DIRECT_ENTRY,BIDIRECTIONAL,1.2,1,PUBLIC,"3BHK,4BHK",ANY,Verandah-courtyard axis creates the traditional thinnai-mutram sequence found in chettinad and agraharam homes,,1,Loss of traditional spatial sequence that defines Tamil Nadu vernacular architecture and natural ventilation path,0.6,0
23,kitchen,dining,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,Reverse path ensuring kitchen staff and family can serve food directly to dining without traversing living space,,0,One-way service from dining to kitchen only — dirty dishes and food service create awkward single-direction flow,0.85,0
24,living,store,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"2BHK,3BHK,4BHK",ANY,Store room for household items and seasonal goods accessible from living or passage in Tamil Nadu homes,,0,Store room accessible only through kitchen or bedroom — inconvenient for storing general household items,0.4,0
25,utility,outside,DIRECT_ENTRY,BIDIRECTIONAL,0.9,4,SERVICE,"2BHK,3BHK,4BHK",ANY,Service entrance via utility room allows domestic help and deliveries without passing through main living areas,,0,All service traffic enters through main door and living room — cooking gas delivery and maid entry disrupt family privacy,0.7,0
26,living,master_bedroom,PASSAGE_REQUIRED,BIDIRECTIONAL,0.9,2,PRIVATE,"3BHK,4BHK",ANY,In larger layouts master bedroom is accessed via passage from living maintaining separation and sound insulation,,0,Master bedroom door opens directly into living room in large house — inappropriate for 3BHK and 4BHK layouts,0.7,0
27,bedroom_2,toilet_attached,DIRECT_ENTRY,BIDIRECTIONAL,0.75,3,PRIVATE,"3BHK,4BHK",ANY,Second attached toilet for bedroom 2 in premium 3BHK and 4BHK layouts common in Coimbatore and Chennai apartments,,0,Bedroom 2 residents share common toilet reducing privacy and property marketability in premium segment,0.6,0
28,car_porch,main_gate,DIRECT_ENTRY,BIDIRECTIONAL,3,0,PUBLIC,"2BHK,3BHK,4BHK",ANY,Car porch directly accessible from main gate with minimum 3m width for vehicle entry in Tamil Nadu independent houses,,0,Car must reverse out onto road without turning space — safety hazard on busy Tamil Nadu residential streets,0.7,0
29,car_porch,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,1,PUBLIC,"2BHK,3BHK,4BHK",ANY,Pedestrian path from car porch to verandah allows residents to walk from parked car to home entry directly,,0,Resident must exit through main gate and re-enter via footpath to reach verandah after parking — illogical,0.6,0
30,outside,master_bedroom,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Direct external access to bedroom is a severe privacy and security violation in Tamil Nadu residential design,NBC 2016 Part 4 Sec 5,1,Stranger from road can look or enter directly into bedroom — total privacy failure and security vulnerability,1,0
31,outside,kitchen,FORBIDDEN,BIDIRECTIONAL,,,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,Kitchen must be internal to the house with no direct road-facing entry per Tamil Nadu building conventions,,1,Kitchen visible and accessible from road — hygiene risk dust entry and vastu violation for agni zone placement,0.95,0
32,outside,toilet_attached,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Attached toilet having external access defeats its private purpose and creates security opening into bedroom zone,,0,External person can access bedroom through attached toilet — privacy and security completely compromised,1,0
33,verandah,master_bedroom,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Bedroom must be past living room in circulation depth not directly off verandah which is semi-public in TN homes,,1,Visitor on verandah can see directly into bedroom when door opens — severe privacy violation for family,0.95,0
34,verandah,bedroom_2,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"2BHK,3BHK,4BHK",ANY,No bedroom should be directly accessible from verandah maintaining the public-to-private circulation hierarchy,,1,Guest at verandah level can access bedroom directly — privacy hierarchy between public and private zones collapses,0.9,0
35,verandah,bedroom_3,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"3BHK,4BHK",ANY,Third bedroom sharing wall with verandah and having direct door violates zoning depth rules in residential planning,,1,Bedroom 3 becomes a semi-public room due to verandah proximity — unsuitable for sleeping or private activities,0.85,0
36,verandah,kitchen,FORBIDDEN,BIDIRECTIONAL,,,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,Kitchen should not open to verandah as cooking odors smoke and service activities are not for public-facing zone,,1,Cooking smells and kitchen clutter visible to visitors at verandah — poor impression and vastu agni-zone violation,0.9,0
37,kitchen,master_bedroom,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Kitchen-bedroom direct path violates both privacy zones and vastu where fire zone must not touch sleeping zone,,1,Cooking heat noise and odors enter bedroom directly — disturbs sleep and violates agni-shayan vastu separation,0.9,0
38,kitchen,bedroom_2,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"2BHK,3BHK,4BHK",ANY,Service zone to private zone direct connection is forbidden to maintain acoustic and olfactory separation,,1,Kitchen noise and cooking smells penetrate bedroom 2 — especially problematic for children studying or sleeping,0.85,0
39,kitchen,bedroom_3,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"3BHK,4BHK",ANY,No bedroom in any BHK configuration should share a direct door with kitchen per Tamil Nadu architectural standards,,1,Bedroom 3 becomes extension of service zone with cooking disturbances entering private sleeping space,0.8,0
40,toilet_attached,kitchen,FORBIDDEN,BIDIRECTIONAL,,,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,NBC mandates no direct opening between toilet and kitchen for sanitation and hygiene in residential buildings,NBC 2016 Part 9 Sec 4.2,0,Toilet odors and bacteria can reach food preparation area — serious health code violation and NBC non-compliance,1,0
41,toilet_common,kitchen,FORBIDDEN,BIDIRECTIONAL,,,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,Common toilet must not open directly into kitchen per NBC hygiene requirements and Tamil Nadu municipal bylaws,NBC 2016 Part 9 Sec 4.2,0,Sanitation contamination risk to food preparation area — health inspector will flag this as building code violation,1,0
42,toilet_common,dining,FORBIDDEN,BIDIRECTIONAL,,,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Toilet opening directly to dining area is prohibited for hygiene and creates unpleasant experience during meals,,1,Toilet door visible and openable while family is eating — cultural taboo in Tamil Nadu and vastu dosham,0.95,0
43,toilet_attached,dining,FORBIDDEN,BIDIRECTIONAL,,,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Attached toilet must open only into its parent bedroom never into dining or any shared space in the house,,1,Private toilet accessible from dining — defeats attached toilet concept and creates hygiene concern at meals,0.9,0
44,terrace,master_bedroom,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"2BHK,3BHK,4BHK",ANY,Terrace must not have direct door into any bedroom as it creates security vulnerability from rooftop access,NBC 2016 Part 4 Sec 6,0,Intruder can access bedroom from terrace — security risk especially in multi-story buildings with shared terrace,0.85,0
45,terrace,bedroom_2,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"2BHK,3BHK,4BHK",ANY,No terrace-bedroom direct path allowed as terrace is semi-secured space vulnerable to unauthorized rooftop entry,,0,Bedroom 2 accessible from terrace where anyone with roof access can enter — break-in vulnerability,0.8,0
46,terrace,bedroom_3,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"3BHK,4BHK",ANY,Terrace to bedroom direct connection forbidden for security in Tamil Nadu homes where terraces adjoin neighbors,,0,Third bedroom exposed to terrace entry point — adjacent building occupants could potentially access bedroom,0.8,0
47,outside,toilet_common,FORBIDDEN,BIDIRECTIONAL,,,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Common toilet must be accessed from within the house not directly from outside to maintain sanitation standards,,0,External access to toilet invites unauthorized use and creates security gap into interior of the house,0.85,0
48,outside,dining,FORBIDDEN,BIDIRECTIONAL,,,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Dining should not have direct external access maintaining the entry sequence through verandah and living room,,1,Dining area exposed to street dust and noise — food contamination risk and loss of family privacy during meals,0.8,0
49,outside,pooja,FORBIDDEN,BIDIRECTIONAL,,,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Pooja room is a sacred internal space that must be accessed only from within the home per vastu and cultural norms,,1,Sacred prayer space accessible from street — contradicts sanctity and vastu requirement for internal purity,0.75,0
50,toilet_common,pooja,FORBIDDEN,BIDIRECTIONAL,,,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Toilet must never share a wall with or open directly into pooja room per vastu shastra strictest prohibition,,1,Impure space directly adjacent to prayer room — most severe vastu dosham causing spiritual and cultural distress,1,0
51,toilet_attached,pooja,FORBIDDEN,BIDIRECTIONAL,,,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,No toilet of any type may share a direct opening or even a common wall with pooja room in vastu-compliant homes,,1,Attached toilet contaminating pooja zone — clients will reject this plan outright as major vastu violation,1,0
52,bedroom_2,toilet_common,PASSAGE_REQUIRED,BIDIRECTIONAL,0.75,3,SEMI_PRIVATE,1BHK,ANY,In 1BHK layouts bedroom occupant reaches common toilet via living or passage not through a direct door,,0,Direct bedroom-to-common-toilet door in 1BHK wastes wall space and reduces room usable area unnecessarily,0.5,0
53,master_bedroom,living,PASSAGE_REQUIRED,BIDIRECTIONAL,0.9,2,PRIVATE,"3BHK,4BHK",ANY,In larger homes master bedroom opens to passage first then living for enhanced acoustic privacy from guests,,0,Master bedroom door opens directly to noisy living area in large home — inadequate sound separation for premium layout,0.6,0
54,bedroom_3,toilet_common,PASSAGE_REQUIRED,BIDIRECTIONAL,0.75,3,SEMI_PRIVATE,"3BHK,4BHK",ANY,Bedroom 3 occupants access common toilet via passage maintaining corridor-based circulation in larger plans,,0,Bedroom 3 has toilet door inside room but not attached type — confusing layout creates neither private nor shared bath,0.5,0
55,bedroom_4,toilet_common,PASSAGE_REQUIRED,BIDIRECTIONAL,0.75,3,SEMI_PRIVATE,4BHK,ANY,Bedroom 4 occupants use passage to reach common or second common toilet in 4BHK Tamil Nadu independent houses,,0,Fourth bedroom has no bathroom access route — occupants have unreasonably long path to nearest toilet facility,0.5,0
56,kitchen,pooja,PASSAGE_REQUIRED,BIDIRECTIONAL,0.75,3,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Kitchen and pooja are both ideally in northeast but must connect through living or passage not directly per vastu,,1,Kitchen steam and cooking residue enters pooja room directly — contradicts cleanliness required for sacred space,0.5,0
57,utility,living,PASSAGE_REQUIRED,BIDIRECTIONAL,0.75,3,SERVICE,"2BHK,3BHK,4BHK",ANY,Utility room is service-zone only and should not open directly into living requiring passage through kitchen area,,0,Washing machine noise and wet clothes visible from living area — service activities intrude on family social space,0.4,0
58,store,kitchen,PASSAGE_REQUIRED,BIDIRECTIONAL,0.75,3,SERVICE,"2BHK,3BHK,4BHK",ANY,Store room may connect to kitchen via passage for provisions access but direct door is optional not mandatory,,0,Store room only accessible through kitchen creates single-point-of-access bottleneck during cooking hours,0.35,0
59,courtyard,bedroom_3,PASSAGE_REQUIRED,BIDIRECTIONAL,0.9,3,PRIVATE,"3BHK,4BHK",ANY,Bedroom facing courtyard gets light and air but direct door to courtyard requires passage for privacy layering,,1,Bedroom opens directly to semi-public courtyard — anyone in courtyard can see into bedroom when door is open,0.45,0
60,courtyard,kitchen,PASSAGE_REQUIRED,BIDIRECTIONAL,0.9,3,SERVICE,"3BHK,4BHK",ANY,Courtyard-kitchen connection provides ventilation but must route through service passage for zone separation,,1,Kitchen directly on courtyard makes cooking odors fill central ventilation shaft — pollutes air for all rooms,0.5,0
61,master_bedroom,toilet_attached,PRIVATE_ONLY,BIDIRECTIONAL,0.75,3,PRIVATE,"2BHK,3BHK,4BHK",ANY,Attached toilet exclusively serves master bedroom with no other access point maintaining private zone integrity,,0,Attached toilet accessible from corridor — loses exclusivity and becomes de facto second common toilet,0.85,0
62,bedroom_2,toilet_attached,PRIVATE_ONLY,BIDIRECTIONAL,0.75,3,PRIVATE,"3BHK,4BHK",ANY,Second attached toilet in premium layouts serves bedroom 2 exclusively as per modern Tamil Nadu apartment standards,,0,Bedroom 2 attached toilet accessible from passage — privacy of bedroom occupant compromised by shared access,0.6,0
63,passage,master_bedroom,PRIVATE_ONLY,BIDIRECTIONAL,0.9,2,PRIVATE,"3BHK,4BHK",ANY,Master bedroom door on passage is private-only — passage serves only bedroom zone not connected to service,,0,Master bedroom on shared service passage where kitchen staff walks — noise and privacy intrusion for occupants,0.7,0
64,bedroom_3,courtyard,PRIVATE_ONLY,ONE_WAY,0.9,3,PRIVATE,"3BHK,4BHK",ANY,Bedroom 3 may have window or restricted door to courtyard but circulation is private-direction only inward,,1,Open bidirectional courtyard-bedroom access lets household visitors see into private bedroom from common area,0.4,0
65,bedroom_4,toilet_attached,PRIVATE_ONLY,BIDIRECTIONAL,0.75,3,PRIVATE,4BHK,ANY,Premium 4BHK layouts provide attached toilet for bedroom 4 maintaining per-room private sanitation facilities,,0,Bedroom 4 without attached bath in luxury segment reduces marketability and per-room privacy significantly,0.55,0
66,kitchen,utility,SERVICE_ONLY,BIDIRECTIONAL,0.75,3,SERVICE,"2BHK,3BHK,4BHK",ANY,Utility room exclusively accessed from kitchen forming a contained service pod for wet work and storage,,0,Utility accessible from bedroom or living — washing machine noise and wet activities disrupt non-service zones,0.75,0
67,kitchen,store,SERVICE_ONLY,BIDIRECTIONAL,0.75,3,SERVICE,"2BHK,3BHK,4BHK",ANY,Kitchen store for provisions and vessels accessed only from within kitchen service zone in Tamil Nadu homes,,0,Store room opening into living room — dry goods and kitchen supplies visible to guests creates untidy impression,0.4,0
68,utility,outside,SERVICE_ONLY,BIDIRECTIONAL,0.9,4,SERVICE,"3BHK,4BHK",ANY,Dedicated service exit from utility to outside allows maid and delivery entry without crossing living areas,,0,Service personnel must enter through main door traversing living room — disrupts family privacy and guest reception,0.65,0
69,kitchen,outside,SERVICE_ONLY,ONE_WAY,0.9,3,SERVICE,"2BHK,3BHK,4BHK",ANY,Kitchen service door to side passage allows gas cylinder delivery and waste disposal without main entrance use,,0,Heavy gas cylinders carried through living room and verandah — safety hazard and damages floor finishes,0.6,0
70,bedroom_2,outside,EMERGENCY_EXIT,ONE_WAY,0.75,,PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Emergency egress window or door from bedrooms to outside required by NBC fire safety for residential buildings,NBC 2016 Part 4 Sec 7,0,No emergency exit from bedroom 2 — occupants trapped if fire blocks living room which is the only normal exit,0.3,0
71,master_bedroom,outside,EMERGENCY_EXIT,ONE_WAY,0.75,,PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Master bedroom must have emergency egress via window with minimum clear opening per NBC fire safety requirements,NBC 2016 Part 4 Sec 7,0,Master bedroom has no external wall window — occupants cannot escape or be rescued during fire emergency,0.3,0
72,kitchen,outside,EMERGENCY_EXIT,ONE_WAY,0.75,,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,Kitchen fire is most common residential fire — emergency exit via service door or window is NBC requirement,NBC 2016 Part 4 Sec 7,0,Kitchen fire blocks only exit — LPG cylinder fires are leading cause of residential fire deaths in Tamil Nadu,0.4,0
73,staircase,outside,EMERGENCY_EXIT,ONE_WAY,0.9,,PUBLIC,"2BHK,3BHK,4BHK",ANY,Staircase must terminate at ground floor with direct external exit for emergency evacuation per NBC fire norms,NBC 2016 Part 4 Sec 6.7,0,Staircase terminates inside living room not at external door — evacuation bottleneck during multi-floor fire,0.5,0
74,outside,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",N,North-facing plots place verandah along north boundary receiving favorable daylight without harsh afternoon sun,NBC 2016 Part 8 Sec 2,1,Verandah on south side of north-facing plot — entry is at rear of plot contradicting street-facing convention,0.95,1
75,outside,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",S,South-facing plots need deeper verandah with overhang to shield harsh afternoon sun from entering living zone,,1,Shallow verandah on south side — direct sun penetration into living room causes heat gain and glare discomfort,0.95,1
76,outside,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",E,East-facing plots have verandah receiving pleasant morning sun considered auspicious in Tamil vastu tradition,,1,Verandah on west side of east-facing plot — loses morning light benefit and faces harsh western afternoon sun,0.95,1
77,outside,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",W,West-facing plots need verandah with heavy overhang or screen to block hot western sun typical of Tamil Nadu summers,,1,Unprotected west-facing verandah makes entry zone unbearably hot from April to July — heat gain into living room,0.9,1
78,living,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",N,North-facing plot kitchen ideally in southeast corner per vastu with access from living on north-south axis,,1,Kitchen in northwest on north-facing plot contradicts vastu agni placement affecting family harmony belief,0.8,0
79,living,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",S,South-facing plot kitchen in southeast with cooking platform facing east as per Tamil Nadu vastu practitioners,,1,Kitchen placed in northeast on south plot — vastu conflict with water element zone disturbing fire element logic,0.8,0
80,living,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",E,East-facing plot kitchen in southeast maintaining agni corner placement with good morning light for cooking area,,1,Kitchen in west zone receives harsh afternoon light generating excess heat in already hot cooking environment,0.8,0
81,living,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",W,West-facing plot kitchen best in southeast but may adjust to northwest with proper ventilation and sun screening,,1,West-facing kitchen without sun protection creates oven-like conditions during Tamil Nadu summer afternoons,0.8,0
82,living,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",N,North-facing home pooja room in northeast corner of living accessible while facing east during prayer per vastu,,1,Pooja in south or west zone — devotee faces wrong direction during prayer contradicting vastu shastra principles,0.65,0
83,living,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",S,South-facing home pooja room placed in northeast accessible from living with devotee facing east or north,,1,Pooja room in southwest on south plot — wrong vastu quadrant for sacred space creates spiritual unease for family,0.65,0
84,living,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",E,East-facing home pooja naturally in northeast near entry receiving first morning sunlight ideal for morning prayers,,1,Pooja room blocked from morning light on east plot — loses the sacred illumination that defines ishan corner worship,0.65,0
85,living,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",W,West-facing home pooja in northeast may require passage connection to living for proper directional prayer alignment,,1,Pooja room near west wall receives setting sun energy — considered inauspicious for prayer space in vastu tradition,0.65,0
86,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,"2BHK,3BHK,4BHK",N,North-facing plot master bedroom ideally in southwest corner for stability per vastu with window on south or west,,1,Master bedroom in northeast on north plot — vastu says owner stability is in southwest creating restlessness,0.8,0
87,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,"2BHK,3BHK,4BHK",S,South-facing plot master bedroom in southwest maintaining vastu nairuthya zone for household head stability,,1,Master bedroom in northeast on south plot conflicts with water-element zone creating instability per vastu belief,0.8,0
88,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,"2BHK,3BHK,4BHK",E,East-facing plot master bedroom in southwest or south side ensuring quiet zone away from morning-active east entry,,1,Master bedroom on east side near entry — morning visitor noise disturbs sleeping occupants of primary bedroom,0.8,0
89,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,"2BHK,3BHK,4BHK",W,West-facing plot master bedroom in southwest with west wall shielded or thickened to manage afternoon heat gain,,1,Master bedroom with large west-facing window without shading — overheating makes room unusable in TN summers,0.8,0
90,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,1BHK,ANY,In 1BHK the single bedroom opens directly from living room with no passage as space is too compact for corridors,,0,Only bedroom in 1BHK has no direct living access — requires walking through kitchen to reach bed area,0.95,1
91,kitchen,living,DIRECT_ENTRY,BIDIRECTIONAL,0.9,1,SERVICE,1BHK,ANY,1BHK often has open kitchen or kitchen directly opening to living dining combined space for efficient area usage,,0,Kitchen completely walled off in 1BHK makes tiny home feel cramped and blocks natural ventilation pathways,0.8,0
