zone_id,zone_name,rooms_in_zone,zone_description,bhk_applicability,facing_dependency,must_be_accessible_from,must_not_be_accessible_from,max_depth_from_entry,min_zone_width_m,recommended_zone_fraction,vastu_zone_name,cross_ventilation_required,natural_light_required,noise_sensitivity,privacy_penetration_rule,drawing_color_hint,typical_tn_arrangement
41,TRANSITIONAL_SPACE,"pooja,passage",West-facing transitional elements with pooja shielded from west wall heat and passage ventilated from courtyard side,"3BHK,4BHK",W,"PUBLIC_ZONE,PRIVATE_ZONE",SERVICE_ZONE,2,2.1,0.09,Ishan,1,1,MEDIUM,Passage on west wall becomes heat corridor — transitional space uncomfortable during afternoon in TN summer months,#F3E5F5,West-facing TN homes position passage on interior away from west wall with pooja at northeast end receiving indirect light
42,ENTRY_SEQUENCE,"main_gate,car_porch,verandah",East-facing arrival with morning sun welcoming visitors along approach path considered auspicious in Tamil tradition,"3BHK,4BHK",E,,"PRIVATE_ZONE,SERVICE_ZONE",0,1.5,0.1,Dwar,1,1,LOW,Entry faces west instead of east — loses auspicious morning light arrival and faces harsh afternoon sun instead,#FFEBEE,East-facing TN entry sequence has tulasi madam at gate kolam space before verandah and morning sun illuminating threshold
43,ENTRY_SEQUENCE,"main_gate,car_porch,verandah",West-facing arrival sequence with sun protection screens and deep overhang to make afternoon entry zone comfortable,"3BHK,4BHK",W,,"PRIVATE_ZONE,SERVICE_ZONE",0,1.5,0.1,Dwar,1,1,LOW,Unshielded west entry blinds visitors with setting sun — uncomfortable approach and poor first impression of home,#FFEBEE,West-facing TN homes add jali screen or pergola along approach with deep verandah and tinted glass to manage sun glare
44,PUBLIC_ZONE,"verandah,living,dining",East-facing 3BHK public zone with morning-lit verandah and living creating bright welcoming social atmosphere,3BHK,E,ENTRY_SEQUENCE,"PRIVATE_ZONE,SERVICE_ZONE",1,3.6,0.3,Purva,1,1,LOW,Living room in shadow on east-facing plot — fails to capitalize on primary daylight advantage of east orientation,#E8F5E9,East-facing 3BHK places full-width verandah on east with living behind receiving morning light through large openings
45,PRIVATE_ZONE,"master_bedroom,bedroom_2,toilet_attached",West-facing 2BHK bedrooms shielded from west sun with thicker walls or utility buffer on west side for comfort,2BHK,W,"SEMI_PRIVATE_ZONE,PUBLIC_ZONE","SERVICE_ZONE,ENTRY_SEQUENCE",2,3.6,0.44,Nairuthya,1,1,HIGH,Bedroom on west wall with large window — afternoon sun turns room into oven during April to July in Tamil Nadu,#E3F2FD,West-facing 2BHK uses utility or store room as buffer on west wall protecting bedrooms from afternoon heat gain
46,SERVICE_ZONE,"kitchen,utility,toilet_common",South-facing 3BHK service zone with kitchen on east wall and service exit on south for delivery and maid access,3BHK,S,"PUBLIC_ZONE,SEMI_PRIVATE_ZONE","PRIVATE_ZONE,ENTRY_SEQUENCE",2,3,0.24,Agni,1,1,LOW,Service entrance path crosses bedroom wing approach — maid access disrupts private zone boundary integrity,#FFF8E1,South-facing 3BHK keeps service zone in southeast with service door on east wall sheltered from south sun for comfortable access
47,EMERGENCY_ZONE,"staircase,passage,kitchen",Ground floor emergency circuit connecting all zones to at least two external exits per NBC fire safety standards,"2BHK,3BHK",ANY,"PUBLIC_ZONE,PRIVATE_ZONE,SERVICE_ZONE",,2,0.9,0,,0,0,LOW,Emergency route passes through bedroom — acceptable only during evacuation but door must remain accessible always,#FFCDD2,Ground floor TN homes use main door plus kitchen service door as two exits with passage connecting all rooms to both egress points
48,TRANSITIONAL_SPACE,"pooja,staircase,passage",South-facing transitional zone with pooja in northeast and passage shielded from direct south sun exposure,3BHK,S,"PUBLIC_ZONE,PRIVATE_ZONE",SERVICE_ZONE,2,2.1,0.09,Ishan,0,1,MEDIUM,Passage aligned with south entry allows direct visual axis from door to bedroom end — privacy of sleeping zone compromised,#F3E5F5,South-facing 3BHK offsets passage from main axis with pooja room at northeast corner creating L-turn that blocks direct sightline to bedrooms
49,PUBLIC_ZONE,"verandah,living,dining",West-facing 2BHK public zone with verandah screened from afternoon sun using jali or louvered panels for comfort,2BHK,W,ENTRY_SEQUENCE,"PRIVATE_ZONE,SERVICE_ZONE",1,3,0.33,Paschima,1,1,LOW,West sun glare makes verandah unusable — public zone effectively shrinks to living room only in afternoon hours,#E8F5E9,West-facing 2BHK uses deep verandah with perforated concrete jali screen filtering afternoon sun while maintaining air flow
50,PRIVATE_ZONE,"master_bedroom,bedroom_2,bedroom_3,bedroom_4,toilet_attached,toilet_common",North-facing 4BHK private zone on south and west sides with thick walls and courtyard buffer against road noise,4BHK,N,SEMI_PRIVATE_ZONE,"SERVICE_ZONE,ENTRY_SEQUENCE",3,4.5,0.47,Nairuthya,1,1,HIGH,Any bedroom door visible from living or verandah breaks private zone enclosure — each door must open only onto passage,#E3F2FD,Premium 4BHK north-facing has L-shaped bedroom wing on south and west with wide passage and each room opening only off this private corridor
