rule_id,room_a,room_b,relationship,reason_code,reason_text,bhk_applicability,priority,door_required,door_width_m,min_shared_wall_m,facing_dependency,vastu_compliance,nbc_section
43,toilet_attached,toilet_common,PREFERRED_ADJACENT,PLUMBING,Back-to-back toilet placement consolidates soil and vent pipe stacks reducing plumbing cost per NBC 2016 drainage provisions.,"2BHK,3BHK,4BHK",3,0,,0.9,ANY,0,"Part 9, Cl 3.2"
44,living,courtyard,MUST_SHARE_WALL,VASTU,Living room opening to central courtyard channels positive energy and cross ventilation per vastu and traditional Tamil Nadu mutram design.,"3BHK,4BHK",4,0,,2.4,ANY,1,
45,puja_room,kitchen,SHOULD_BE_ADJACENT,VASTU,Puja room near kitchen aligns with northeast vastu zone and supports daily ritual integration with cooking in Tamil Nadu homes.,"3BHK,4BHK",3,1,0.75,0.9,E,1,
46,passage,bedroom_2,MUST_SHARE_WALL,CIRCULATION,Bedroom two must open from internal passage to maintain privacy zoning and avoid direct living area exposure per planning norms.,"2BHK,3BHK,4BHK",4,1,0.9,0.9,ANY,0,
47,passage,bedroom_3,MUST_SHARE_WALL,CIRCULATION,Third bedroom access from passage ensures private zone integrity in 3BHK and 4BHK Tamil Nadu residential floor plan layouts.,"3BHK,4BHK",4,1,0.9,0.9,ANY,0,
48,dining,kitchen,MUST_SHARE_WALL,FUNCTIONAL,Kitchen-dining shared wall with serving hatch or opening is standard in Tamil Nadu flat layouts for efficient meal service flow.,"1BHK,2BHK,3BHK,4BHK",4,1,0.9,1.8,ANY,1,
49,bedroom_2,toilet_attached,MUST_SHARE_WALL,FUNCTIONAL,Second bedroom attached toilet in 3BHK and 4BHK provides ensuite convenience and enhanced privacy for secondary bedroom occupants.,"3BHK,4BHK",4,1,0.75,1.2,ANY,0,"Part 4, Cl 4.2"
50,kitchen,bedroom_2,MUST_NOT_BE_ADJACENT,PRIVACY,Second bedroom must be insulated from kitchen noise and cooking fumes to ensure comfortable sleeping environment in residential units.,"2BHK,3BHK,4BHK",3,0,,,ANY,1,
51,kitchen,bedroom_3,MUST_NOT_BE_ADJACENT,PRIVACY,Third bedroom separation from kitchen prevents odour and noise transmission maintaining residential comfort in 3BHK Tamil Nadu homes.,"3BHK,4BHK",3,0,,,ANY,1,
52,kitchen,bedroom_4,MUST_NOT_BE_ADJACENT,PRIVACY,Fourth bedroom in 4BHK must avoid kitchen adjacency for optimal noise insulation and sleeping zone comfort per planning standards.,4BHK,3,0,,,ANY,1,
53,pooja,dining,PREFERRED_ADJACENT,VASTU,Pooja room near dining allows pre-meal prayer rituals and maintains spiritual ambience in the eating area per vastu guidelines.,"2BHK,3BHK,4BHK",2,1,0.75,0.9,E,1,
54,pooja,passage,SHOULD_BE_ADJACENT,CIRCULATION,Pooja room opening from passage provides shared family access without entering private bedrooms in Tamil Nadu home layouts.,"2BHK,3BHK,4BHK",2,1,0.75,0.9,ANY,1,
55,store,utility,PREFERRED_ADJACENT,FUNCTIONAL,Store and utility adjacency creates consolidated service zone for household operations common in Tamil Nadu residential service areas.,"3BHK,4BHK",2,1,0.75,0.9,ANY,0,
56,staircase,kitchen,MUST_NOT_BE_ADJACENT,SAFETY,NBC 2016 fire safety requires staircase separation from kitchen to prevent fire spread and ensure safe egress in residences.,"2BHK,3BHK,4BHK",4,0,,,ANY,0,"Part 4, Cl 6.2"
57,staircase,bedroom_2,MUST_NOT_BE_ADJACENT,PRIVACY,Staircase traffic noise must not disturb second bedroom; acoustic buffer via passage is recommended in multi-storey Tamil Nadu homes.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
58,staircase,bedroom_3,MUST_NOT_BE_ADJACENT,PRIVACY,Third bedroom should be buffered from staircase foot traffic noise to maintain sleeping zone quiet in 3BHK residential units.,"3BHK,4BHK",2,0,,,ANY,0,
59,courtyard,kitchen,SHOULD_BE_ADJACENT,FUNCTIONAL,Kitchen opening to courtyard enables natural smoke exhaust and daylight entry following traditional Tamil Nadu thinnai courtyard planning.,"3BHK,4BHK",3,1,0.9,1.5,ANY,1,
60,courtyard,master_bedroom,PREFERRED_ADJACENT,VASTU,Master bedroom overlooking courtyard benefits from cross ventilation and vastu positive energy flow in Tamil Nadu house designs.,"3BHK,4BHK",2,0,,1.2,S,1,
61,courtyard,staircase,PREFERRED_ADJACENT,CIRCULATION,Staircase adjacent to courtyard provides natural light to stairwell and enables visual connectivity across floors in independent houses.,"3BHK,4BHK",2,0,,,ANY,0,
62,verandah,dining,PREFERRED_ADJACENT,FUNCTIONAL,Verandah adjacent to dining allows semi-outdoor eating experience typical of traditional Tamil Nadu residential lifestyle and entertaining.,"2BHK,3BHK,4BHK",1,1,1.2,1.8,E,1,
63,verandah,master_bedroom,MUST_NOT_BE_ADJACENT,PRIVACY,Master bedroom must not open directly to verandah to prevent visual exposure from street and maintain sleeping zone privacy.,"1BHK,2BHK,3BHK,4BHK",3,0,,,ANY,0,
64,verandah,bedroom_2,MUST_NOT_BE_ADJACENT,PRIVACY,Second bedroom should not face verandah directly to ensure privacy from visitors and external noise in residential buildings.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
65,utility,verandah,PREFERRED_ADJACENT,FUNCTIONAL,Utility room near verandah enables clothes drying access and service entry common in Tamil Nadu residential back-of-house planning.,"2BHK,3BHK,4BHK",2,1,0.75,0.9,W,0,
66,utility,kitchen,SHOULD_BE_ADJACENT,PLUMBING,Utility adjacent to kitchen consolidates wet zone plumbing and enables washing machine drainage sharing per NBC 2016 service provisions.,"2BHK,3BHK,4BHK",4,1,0.75,1.2,ANY,0,"Part 9, Cl 3.1"
67,store,passage,SHOULD_BE_ADJACENT,CIRCULATION,Store room accessible from passage provides household storage without entering private rooms in compact Tamil Nadu apartment layouts.,"2BHK,3BHK,4BHK",2,1,0.75,0.9,ANY,0,
68,living,pooja,MUST_SHARE_WALL,VASTU,Pooja sharing wall with living in northeast corner is vastu ideal allowing family worship visibility from main gathering space.,"2BHK,3BHK,4BHK",4,1,0.75,0.9,N,1,
69,toilet_common,living,MUST_NOT_BE_ADJACENT,VASTU,Common toilet must not share wall with living room per vastu and to prevent sound and odour transmission in social areas.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
70,toilet_attached,dining,MUST_NOT_BE_ADJACENT,VASTU,Attached toilet proximity to dining is vastu non-compliant and unhygienic; minimum one room buffer is required in all BHK types.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
71,toilet_attached,kitchen,FORBIDDEN_ADJACENT,SAFETY,NBC 2016 prohibits attached toilet sharing wall with kitchen due to cross-contamination risk in residential plumbing stacks.,"1BHK,2BHK,3BHK,4BHK",5,0,,,ANY,1,"Part 4, Cl 5.3"
72,toilet_common,kitchen,FORBIDDEN_ADJACENT,SAFETY,Common toilet and kitchen wall sharing is forbidden per NBC 2016 sanitation standards to prevent hygiene compromise in dwellings.,"1BHK,2BHK,3BHK,4BHK",5,0,,,ANY,1,"Part 4, Cl 5.3"
73,bedroom_3,kitchen,MUST_NOT_BE_ADJACENT,VASTU,Kitchen fire element must not adjoin bedroom three per vastu shastra to maintain peaceful energy in sleeping zones of the home.,"3BHK,4BHK",3,0,,,ANY,1,
74,bedroom_4,kitchen,MUST_NOT_BE_ADJACENT,VASTU,Fourth bedroom must avoid kitchen adjacency as vastu prescribes separation of fire and rest zones in premium residential layouts.,4BHK,3,0,,,ANY,1,
75,master_bedroom,courtyard,SHOULD_BE_ADJACENT,VASTU,Master bedroom adjacent to courtyard gains cross ventilation and positive vastu energy flow typical of Tamil Nadu traditional houses.,"3BHK,4BHK",2,0,,1.2,S,1,
76,living,kitchen,PREFERRED_ADJACENT,FUNCTIONAL,Living and kitchen proximity aids open plan layout visibility and supervision common in modern Tamil Nadu apartment design trends.,"1BHK,2BHK",2,0,,,ANY,0,
77,puja_room,living,SHOULD_BE_ADJACENT,VASTU,Puja room visible from living hall enables family participation in daily worship and maintains spiritual ambience per vastu guidelines.,"3BHK,4BHK",3,1,0.75,0.9,E,1,
78,puja_room,dining,PREFERRED_ADJACENT,VASTU,Puja room near dining facilitates pre-meal prayers and food offering rituals traditional in Tamil Nadu brahmin residential customs.,"3BHK,4BHK",2,1,0.75,0.9,E,1,
79,passage,living,MUST_SHARE_WALL,CIRCULATION,Internal passage originating from living room distributes traffic to bedrooms and toilets per standard residential circulation planning.,"2BHK,3BHK,4BHK",4,0,,1.2,ANY,0,"Part 4, Cl 4.4"
80,passage,bedroom_4,MUST_SHARE_WALL,CIRCULATION,Fourth bedroom must open from passage ensuring independent access without traversing other bedrooms in 4BHK premium unit layouts.,4BHK,4,1,0.9,0.9,ANY,0,
81,master_bedroom,verandah,MUST_NOT_BE_ADJACENT,PRIVACY,Vastu and privacy require master bedroom to be isolated from semi-public verandah to prevent external visual access to sleeping area.,"1BHK,2BHK,3BHK,4BHK",3,0,,,ANY,1,
82,bedroom_2,living,MUST_NOT_BE_ADJACENT,PRIVACY,Second bedroom should be acoustically separated from living room to prevent social activity noise disturbing rest in the bedroom.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
83,bedroom_3,living,MUST_NOT_BE_ADJACENT,PRIVACY,Third bedroom isolation from living room ensures night-time quiet and privacy in 3BHK and 4BHK Tamil Nadu residential designs.,"3BHK,4BHK",2,0,,,ANY,0,
84,bedroom_4,living,MUST_NOT_BE_ADJACENT,PRIVACY,Fourth bedroom must be buffered from living area noise to maintain premium privacy standards in 4BHK apartment configurations.,4BHK,2,0,,,ANY,0,
85,staircase,toilet_common,MUST_NOT_BE_ADJACENT,SAFETY,Staircase must not adjoin toilet to maintain fire escape route integrity and prevent wet zone hazards per NBC 2016 fire norms.,"2BHK,3BHK,4BHK",4,0,,,ANY,0,"Part 4, Cl 6.3"
86,staircase,toilet_attached,MUST_NOT_BE_ADJACENT,SAFETY,Attached toilet must not share wall with staircase to preserve egress integrity and prevent water damage per NBC 2016 standards.,"2BHK,3BHK,4BHK",4,0,,,ANY,0,"Part 4, Cl 6.3"
87,utility,master_bedroom,MUST_NOT_BE_ADJACENT,PRIVACY,Utility room washing machine vibration and noise must not transmit to master bedroom; buffer via passage is recommended.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
88,utility,bedroom_2,MUST_NOT_BE_ADJACENT,PRIVACY,Utility noise from laundry operations must not disturb second bedroom occupants; acoustic separation is essential in planning.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
89,store,dining,PREFERRED_ADJACENT,FUNCTIONAL,Store room near dining enables quick access to serving items and tableware storage typical in Tamil Nadu residential households.,"3BHK,4BHK",1,1,0.75,0.9,ANY,0,
90,store,living,MUST_NOT_BE_ADJACENT,FUNCTIONAL,Store room should not open into living area to prevent cluttered appearance and maintain formal reception zone aesthetics.,"2BHK,3BHK,4BHK",1,0,,,ANY,0,
91,pooja,master_bedroom,PREFERRED_ADJACENT,VASTU,Pooja room adjacent to master bedroom allows private early morning worship convenient for elderly residents in Tamil Nadu homes.,"2BHK,3BHK,4BHK",2,1,0.75,0.9,E,1,
92,pooja,bedroom_2,MUST_NOT_BE_ADJACENT,VASTU,Pooja room should not adjoin secondary bedrooms as sleeping over sacred space is vastu non-compliant in residential planning.,"2BHK,3BHK,4BHK",2,0,,,ANY,1,
93,pooja,bedroom_3,MUST_NOT_BE_ADJACENT,VASTU,Third bedroom adjacency to pooja room is discouraged in vastu as sleeping directly beside worship area disrupts spiritual energy.,"3BHK,4BHK",2,0,,,ANY,1,
94,pooja,utility,MUST_NOT_BE_ADJACENT,VASTU,Utility room water and washing activities must not adjoin sacred pooja space per vastu purity principles in Tamil Nadu homes.,"2BHK,3BHK,4BHK",3,0,,,ANY,1,
95,pooja,store,MUST_NOT_BE_ADJACENT,VASTU,Store room adjacency to pooja is vastu non-compliant as stored materials may emit impure energies affecting prayer space sanctity.,"3BHK,4BHK",2,0,,,ANY,1,
96,courtyard,toilet_common,MUST_NOT_BE_ADJACENT,VASTU,Courtyard must not adjoin common toilet per vastu as central open space should channel only positive energy in the dwelling.,"3BHK,4BHK",4,0,,,ANY,1,
97,courtyard,toilet_attached,MUST_NOT_BE_ADJACENT,VASTU,Attached toilet must not open to courtyard per vastu shastra to maintain clean energy flow in central open space of home.,"3BHK,4BHK",4,0,,,ANY,1,
98,courtyard,utility,PREFERRED_ADJACENT,FUNCTIONAL,Utility room opening to courtyard enables natural clothes drying and ventilation typical in Tamil Nadu independent house layouts.,"3BHK,4BHK",2,1,0.75,0.9,ANY,0,
99,courtyard,store,PREFERRED_ADJACENT,FUNCTIONAL,Store accessible from courtyard provides service zone storage without entering main house areas in Tamil Nadu traditional floor plans.,"3BHK,4BHK",1,1,0.75,0.9,ANY,0,
100,living,master_bedroom,MUST_NOT_BE_ADJACENT,PRIVACY,Direct adjacency between living and master bedroom compromises acoustic privacy; passage or buffer space must intervene per planning norms.,"2BHK,3BHK,4BHK",3,0,,,ANY,0,
101,living,toilet_common,MUST_NOT_BE_ADJACENT,VASTU,Vastu forbids toilet opening from living as it brings negative energy to the main social gathering space of the dwelling.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
102,living,toilet_attached,MUST_NOT_BE_ADJACENT,VASTU,Attached toilet must not open from living hall to preserve social space dignity and vastu compliance in all BHK types.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
103,dining,toilet_attached,MUST_NOT_BE_ADJACENT,VASTU,Attached toilet must not share wall with dining per vastu shastra to maintain food zone purity in Tamil Nadu residences.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
104,dining,passage,SHOULD_BE_ADJACENT,CIRCULATION,Dining accessible from passage ensures convenient meal-time access for all family members from their respective private zones.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
105,dining,courtyard,SHOULD_BE_ADJACENT,VASTU,Dining adjacent to courtyard allows natural light during meals and connects eating area to positive central energy per vastu.,"3BHK,4BHK",2,0,,1.5,ANY,1,
106,kitchen,passage,SHOULD_BE_ADJACENT,CIRCULATION,Kitchen accessible from internal passage allows independent service access without traversing living or dining in larger unit layouts.,"3BHK,4BHK",2,1,0.75,0.9,ANY,0,
107,kitchen,verandah,MUST_NOT_BE_ADJACENT,VASTU,Kitchen should not open to front verandah per vastu as cooking zone exposure to external gaze is considered inauspicious.,"1BHK,2BHK,3BHK,4BHK",3,0,,,ANY,1,
108,bedroom_2,passage,MUST_SHARE_WALL,CIRCULATION,Second bedroom opening from passage maintains private zone integrity and avoids direct living space visual exposure in homes.,"2BHK,3BHK,4BHK",4,1,0.9,0.9,ANY,0,
109,bedroom_3,passage,MUST_SHARE_WALL,CIRCULATION,Third bedroom accessed from passage ensures independent private entry in 3BHK Tamil Nadu apartment and independent house floor plans.,"3BHK,4BHK",4,1,0.9,0.9,ANY,0,
110,bedroom_4,passage,MUST_SHARE_WALL,CIRCULATION,Fourth bedroom must open from passage for independent access ensuring privacy for all bedroom occupants in 4BHK premium units.,4BHK,4,1,0.9,0.9,ANY,0,
111,master_bedroom,dining,MUST_NOT_BE_ADJACENT,PRIVACY,Master bedroom must not adjoin dining to prevent mealtime noise disturbance and maintain sleeping zone acoustic isolation.,"2BHK,3BHK,4BHK",3,0,,,ANY,0,
112,bedroom_2,dining,MUST_NOT_BE_ADJACENT,PRIVACY,Second bedroom separation from dining prevents food odour and conversation noise from disturbing bedroom rest zone in homes.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
113,bedroom_3,dining,MUST_NOT_BE_ADJACENT,PRIVACY,Third bedroom should avoid dining adjacency for acoustic comfort and sleeping zone privacy in 3BHK and 4BHK layouts.,"3BHK,4BHK",2,0,,,ANY,0,
114,bedroom_4,dining,MUST_NOT_BE_ADJACENT,PRIVACY,Fourth bedroom must be acoustically separated from dining area to preserve premium quiet sleeping zone in 4BHK configurations.,4BHK,2,0,,,ANY,0,
115,staircase,dining,PREFERRED_ADJACENT,CIRCULATION,Staircase near dining enables convenient upper floor access during meal gatherings in multi-storey Tamil Nadu independent houses.,"3BHK,4BHK",1,0,,,ANY,0,
116,staircase,passage,MUST_SHARE_WALL,CIRCULATION,Staircase opening from passage ensures organized vertical circulation without disrupting room privacy per NBC 2016 egress standards.,"2BHK,3BHK,4BHK",4,0,,1.2,ANY,0,"Part 4, Cl 4.6"
117,staircase,bedroom_4,MUST_NOT_BE_ADJACENT,PRIVACY,Fourth bedroom in 4BHK must be buffered from staircase traffic to ensure quiet sleeping environment for premium room occupants.,4BHK,2,0,,,ANY,0,
118,staircase,pooja,MUST_NOT_BE_ADJACENT,VASTU,Staircase must not adjoin pooja room as descending energy from stairs disrupts sacred worship space per vastu shastra principles.,"2BHK,3BHK,4BHK",3,0,,,ANY,1,
119,staircase,store,PREFERRED_ADJACENT,FUNCTIONAL,Under-staircase storage utilization is efficient in compact Tamil Nadu homes making staircase-store adjacency functionally advantageous.,"2BHK,3BHK,4BHK",1,1,0.6,,ANY,0,
120,toilet_common,bedroom_3,SHOULD_BE_ADJACENT,FUNCTIONAL,Common toilet near third bedroom in 3BHK provides convenient nighttime access without long corridor walks for bedroom occupants.,"3BHK,4BHK",3,0,,,ANY,0,
121,toilet_common,bedroom_4,SHOULD_BE_ADJACENT,FUNCTIONAL,Fourth bedroom proximity to common toilet in 4BHK ensures all bedrooms have reasonable toilet access within acceptable walking distance.,4BHK,3,0,,,ANY,0,
122,toilet_attached,bedroom_2,MUST_SHARE_WALL,FUNCTIONAL,Second bedroom ensuite toilet in 3BHK provides dedicated private bathroom enhancing resident comfort per modern Tamil Nadu flat standards.,"3BHK,4BHK",4,1,0.75,1.2,ANY,0,"Part 4, Cl 4.2"
123,toilet_attached,bedroom_3,PREFERRED_ADJACENT,FUNCTIONAL,Third bedroom attached toilet in premium 4BHK provides ensuite comfort for each bedroom typical of luxury Tamil Nadu apartments.,4BHK,3,1,0.75,1.2,ANY,0,
124,utility,toilet_attached,PREFERRED_ADJACENT,PLUMBING,Utility and attached toilet back-to-back placement consolidates drain pipes and reduces wet zone construction cost in residences.,"2BHK,3BHK,4BHK",3,0,,0.9,ANY,0,"Part 9, Cl 3.2"
125,utility,dining,MUST_NOT_BE_ADJACENT,FUNCTIONAL,Utility room laundry noise and chemical odours must not penetrate dining area; service zone separation is essential in planning.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
