config_id,plot_name,plot_width_m,plot_depth_m,plot_area_sqm,plot_area_cents,plot_area_sqft,facing,bhk_type,is_suitable,suitability_reason,net_buildable_area_sqm,net_buildable_width_m,net_buildable_depth_m,zone_public_pct,zone_private_pct,zone_service_pct,master_bedroom_target_w,master_bedroom_target_d,bedroom2_target_w,bedroom2_target_d,bedroom3_target_w,bedroom3_target_d,living_target_w,living_target_d,dining_target_w,dining_target_d,kitchen_target_w,kitchen_target_d,toilet_att_target_w,toilet_att_target_d,toilet_common_target_w,toilet_common_target_d,utility_target_w,utility_target_d,verandah_target_w,verandah_target_d,pooja_room_possible,staircase_possible,courtyard_possible,common_in_district,vastu_front_facing,layout_strategy,typical_use,road_width_typical_m,fsi_applicable,is_corner_plot,special_notes
11,3x6m Micro Plot,3,6,18,0.44,193.75,E,3BHK,0,Plot too small for 3BHK; need minimum 80sqm for three bedrooms plus services,10.56,2.4,4.4,25,50,25,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai",East facing most auspicious per vastu,Verandah full E width. Combined living-dining on E side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
12,3x6m Micro Plot,3,6,18,0.44,193.75,E,4BHK,0,4BHK requires minimum 130sqm plot; insufficient space for four bedrooms plus services,10.56,2.4,4.4,22,55,23,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai",East facing most auspicious per vastu,Verandah full E width. Combined living-dining on E side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
13,3x6m Micro Plot,3,6,18,0.44,193.75,W,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,10.56,2.4,4.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","West entry acceptable, master bedroom SW corner",Entry from W via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
14,3x6m Micro Plot,3,6,18,0.44,193.75,W,2BHK,0,Insufficient area for 2BHK; minimum 40sqm buildable footprint required per norms,10.56,2.4,4.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","West entry acceptable, master bedroom SW corner",Entry from W via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,1,Micro plot; single floor only recommended. Check local panchayat norms.
15,3x6m Micro Plot,3,6,18,0.44,193.75,W,3BHK,0,Plot too small for 3BHK; need minimum 80sqm for three bedrooms plus services,10.56,2.4,4.4,25,50,25,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","West entry acceptable, master bedroom SW corner",Entry from W via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
16,3x6m Micro Plot,3,6,18,0.44,193.75,W,4BHK,0,4BHK requires minimum 130sqm plot; insufficient space for four bedrooms plus services,10.56,2.4,4.4,22,55,23,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","West entry acceptable, master bedroom SW corner",Entry from W via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
17,4x6m Compact Plot,4,6,24,0.59,258.33,N,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,14.96,3.4,4.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","North entrance auspicious, master SW",Verandah full N width. Combined living-dining on N side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
18,4x6m Compact Plot,4,6,24,0.59,258.33,N,2BHK,0,Insufficient area for 2BHK; minimum 40sqm buildable footprint required per norms,14.96,3.4,4.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","North entrance auspicious, master SW",Verandah full N width. Combined living-dining on N side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
19,4x6m Compact Plot,4,6,24,0.59,258.33,N,3BHK,0,Plot too small for 3BHK; need minimum 80sqm for three bedrooms plus services,14.96,3.4,4.4,25,50,25,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","North entrance auspicious, master SW",Verandah full N width. Combined living-dining on N side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
20,4x6m Compact Plot,4,6,24,0.59,258.33,N,4BHK,0,4BHK requires minimum 130sqm plot; insufficient space for four bedrooms plus services,14.96,3.4,4.4,22,55,23,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","North entrance auspicious, master SW",Verandah full N width. Combined living-dining on N side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
21,4x6m Compact Plot,4,6,24,0.59,258.33,S,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,14.96,3.4,4.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","South entry needs vastu remedies, master SW",Entry from S via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,1,Micro plot; single floor only recommended. Check local panchayat norms.
22,4x6m Compact Plot,4,6,24,0.59,258.33,S,2BHK,0,Insufficient area for 2BHK; minimum 40sqm buildable footprint required per norms,14.96,3.4,4.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","South entry needs vastu remedies, master SW",Entry from S via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
23,4x6m Compact Plot,4,6,24,0.59,258.33,S,3BHK,0,Plot too small for 3BHK; need minimum 80sqm for three bedrooms plus services,14.96,3.4,4.4,25,50,25,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","South entry needs vastu remedies, master SW",Entry from S via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
24,4x6m Compact Plot,4,6,24,0.59,258.33,S,4BHK,0,4BHK requires minimum 130sqm plot; insufficient space for four bedrooms plus services,14.96,3.4,4.4,22,55,23,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","South entry needs vastu remedies, master SW",Entry from S via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
25,4x6m Compact Plot,4,6,24,0.59,258.33,E,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,14.96,3.4,4.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem",East facing most auspicious per vastu,Verandah full E width. Combined living-dining on E side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
26,4x6m Compact Plot,4,6,24,0.59,258.33,E,2BHK,0,Insufficient area for 2BHK; minimum 40sqm buildable footprint required per norms,14.96,3.4,4.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem",East facing most auspicious per vastu,Verandah full E width. Combined living-dining on E side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
27,4x6m Compact Plot,4,6,24,0.59,258.33,E,3BHK,0,Plot too small for 3BHK; need minimum 80sqm for three bedrooms plus services,14.96,3.4,4.4,25,50,25,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem",East facing most auspicious per vastu,Verandah full E width. Combined living-dining on E side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
28,4x6m Compact Plot,4,6,24,0.59,258.33,E,4BHK,0,4BHK requires minimum 130sqm plot; insufficient space for four bedrooms plus services,14.96,3.4,4.4,22,55,23,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem",East facing most auspicious per vastu,Verandah full E width. Combined living-dining on E side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,1,Micro plot; single floor only recommended. Check local panchayat norms.
29,4x6m Compact Plot,4,6,24,0.59,258.33,W,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,14.96,3.4,4.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","West entry acceptable, master bedroom SW corner",Entry from W via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
30,4x6m Compact Plot,4,6,24,0.59,258.33,W,2BHK,0,Insufficient area for 2BHK; minimum 40sqm buildable footprint required per norms,14.96,3.4,4.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","West entry acceptable, master bedroom SW corner",Entry from W via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
31,4x6m Compact Plot,4,6,24,0.59,258.33,W,3BHK,0,Plot too small for 3BHK; need minimum 80sqm for three bedrooms plus services,14.96,3.4,4.4,25,50,25,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","West entry acceptable, master bedroom SW corner",Entry from W via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
32,4x6m Compact Plot,4,6,24,0.59,258.33,W,4BHK,0,4BHK requires minimum 130sqm plot; insufficient space for four bedrooms plus services,14.96,3.4,4.4,22,55,23,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.4,1.2,0,0,0,"Chennai, Tiruchirappalli, Salem","West entry acceptable, master bedroom SW corner",Entry from W via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
33,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,N,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,28.86,3.9,7.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli","North entrance auspicious, master SW",Verandah spans north frontage. Living room behind verandah east-west axis. Bedroom in south zone. Kitchen and toilet on west service wall.,URBAN_RESIDENTIAL,6,1.5,0,
34,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,N,2BHK,1,"Good fit for 2BHK with proper room sizes, cross ventilation, and setback compliance",28.86,3.9,7.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli","North entrance auspicious, master SW",Verandah full north width. Living-dining spine east-west behind verandah. Master bedroom SW corner. Second bedroom SE. Kitchen and utility NW service block.,URBAN_RESIDENTIAL,6,1.5,0,
35,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,N,3BHK,0,Plot too small for 3BHK; need minimum 80sqm for three bedrooms plus services,28.86,3.9,7.4,25,50,25,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli","North entrance auspicious, master SW",North verandah full width. Living-dining open plan behind. Master bedroom SW. Bedroom 2 south-center. Bedroom 3 SE. Kitchen NW with utility. Staircase NE corner.,URBAN_RESIDENTIAL,6,1.5,1,Corner plot allows two-side setback relaxation per DTCP rules.
36,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,N,4BHK,0,4BHK requires minimum 130sqm plot; insufficient space for four bedrooms plus services,28.86,3.9,7.4,22,55,23,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli","North entrance auspicious, master SW",Grand north verandah. Formal living and dining front zone. Master suite SW with walk-in. Bedrooms 2-3 south wing. Bedroom 4 east. Kitchen NW with pantry and utility. Central courtyard. Staircase NE.,URBAN_RESIDENTIAL,6,1.5,0,
37,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,S,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,28.86,3.9,7.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli","South entry needs vastu remedies, master SW",Entry verandah south. Living central spine. Bedroom placed north for privacy. Kitchen west side. Toilet between bedroom and kitchen.,URBAN_RESIDENTIAL,6,1.5,0,
38,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,S,2BHK,1,"Good fit for 2BHK with proper room sizes, cross ventilation, and setback compliance",28.86,3.9,7.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli","South entry needs vastu remedies, master SW",South verandah entry. Living room central. Master bedroom NW for vastu. Bedroom 2 NE. Kitchen SW with utility. Common toilet between bedrooms.,URBAN_RESIDENTIAL,6,1.5,0,
39,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,S,3BHK,0,Plot too small for 3BHK; need minimum 80sqm for three bedrooms plus services,28.86,3.9,7.4,25,50,25,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli","South entry needs vastu remedies, master SW",South verandah entry. Living central axis. Three bedrooms arranged north strip. Master NW per vastu. Kitchen SW service zone. Courtyard center if space allows.,URBAN_RESIDENTIAL,6,1.5,0,
40,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,S,4BHK,0,4BHK requires minimum 130sqm plot; insufficient space for four bedrooms plus services,28.86,3.9,7.4,22,55,23,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli","South entry needs vastu remedies, master SW",South portico entry. Double-height living central. Master bedroom NW per vastu. Bedroom 2 NE. Bedrooms 3-4 north wing. Kitchen SW with service yard. Central courtyard with skylight.,URBAN_RESIDENTIAL,6,1.5,0,
41,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,E,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,28.86,3.9,7.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli",East facing most auspicious per vastu,East verandah full depth. Living room front east. Bedroom rear west corner. Kitchen south service strip. Toilet adjacent bedroom.,URBAN_RESIDENTIAL,6,1.5,0,
42,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,E,2BHK,1,"Good fit for 2BHK with proper room sizes, cross ventilation, and setback compliance",28.86,3.9,7.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli",East facing most auspicious per vastu,East verandah along frontage. Living room front-east. Dining behind living. Master bedroom SW corner. Bedroom 2 NW. Kitchen and services west wall.,URBAN_RESIDENTIAL,6,1.5,1,Corner plot allows two-side setback relaxation per DTCP rules.
43,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,E,3BHK,0,Plot too small for 3BHK; need minimum 80sqm for three bedrooms plus services,28.86,3.9,7.4,25,50,25,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli",East facing most auspicious per vastu,East verandah along depth. Living-dining front east half. Master bedroom SW. Bedrooms 2 and 3 west strip. Kitchen NW service block. Staircase south wall.,URBAN_RESIDENTIAL,6,1.5,0,
44,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,E,4BHK,0,4BHK requires minimum 130sqm plot; insufficient space for four bedrooms plus services,28.86,3.9,7.4,22,55,23,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli",East facing most auspicious per vastu,East verandah grand entry. Living-dining front east wing. Master SW suite. Bedrooms 2-3 west wing. Bedroom 4 NW. Kitchen and utility west service block. Courtyard center. Staircase south.,URBAN_RESIDENTIAL,6,1.5,0,
45,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,W,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,28.86,3.9,7.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli","West entry acceptable, master bedroom SW corner",West entry verandah. Living front zone. Bedroom east rear for morning light. Kitchen and utility south strip. Toilet beside bedroom.,URBAN_RESIDENTIAL,6,1.5,0,
46,4.5x9m Urban Plot,4.5,9,40.5,1,435.94,W,2BHK,1,"Good fit for 2BHK with proper room sizes, cross ventilation, and setback compliance",28.86,3.9,7.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,3.9,1.2,0,0,0,"Chennai, Coimbatore, Tirunelveli","West entry acceptable, master bedroom SW corner",West entry with verandah. Living-dining front zone. Master bedroom SE for morning sun. Bedroom 2 NE. Kitchen NW service corner with utility area.,URBAN_RESIDENTIAL,6,1.5,0,
