material_id,material_name,material_category,subcategory,application,unit,cost_per_unit_inr_low,cost_per_unit_inr_high,cost_per_unit_inr_avg,districts_available,districts_expensive,thermal_performance,climate_zone_suitability,sustainability_rating,baker_recommended,local_availability,carbon_footprint,skill_level_required,typical_thickness_mm,compressive_strength_mpa,thermal_conductivity_w_mk,water_resistance,maintenance_frequency,lifespan_years,nbc_approved,is_load_bearing,wall_drawing_color_hex,hatch_pattern,notes
17,AAC Block 600x200x200mm (8-inch),MASONRY,AAC Block,Infill wall in RCC frame structure,per_piece,55,72,63.5,ALL,"Nilgiris,Ramanathapuram,Kanniyakumari",EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,0,MANUFACTURED,LOW,SEMI_SKILLED,200,4,0.16,POOR,10_YEARS,60,1,0,#E8E0D0,...,"Excellent thermal insulation for TN heat. Needs waterproof coating in coastal areas. Use AAC adhesive, not cement mortar."
18,AAC Block 600x200x100mm (Partition),MASONRY,AAC Block,Infill wall in RCC frame structure,per_piece,32,42,37,ALL,"Nilgiris,Ramanathapuram,Kanniyakumari",EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,0,MANUFACTURED,LOW,SEMI_SKILLED,100,3.5,0.16,POOR,10_YEARS,60,1,0,#E8E0D0,...,"Excellent thermal insulation for TN heat. Needs waterproof coating in coastal areas. Use AAC adhesive, not cement mortar."
19,AAC Block 600x200x230mm (9-inch Wall),MASONRY,AAC Block,Infill wall in RCC frame structure,per_piece,65,85,75,ALL,"Nilgiris,Ramanathapuram,Kanniyakumari",EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,0,MANUFACTURED,LOW,SEMI_SKILLED,230,4,0.16,POOR,10_YEARS,60,1,0,#E8E0D0,...,"Excellent thermal insulation for TN heat. Needs waterproof coating in coastal areas. Use AAC adhesive, not cement mortar."
20,Charnockite Granite Rubble (Uncoursed),MASONRY,Granite Rubble,Foundation wall and compound wall,cum,2800,4200,3500,"Madurai,Dindigul,Theni,Krishnagiri,Dharmapuri,Salem","Chennai,Tiruvallur",GOOD,"Hot_Humid,Hot_Dry,Composite",4,1,LOCALLY_SOURCED,VERY_LOW,SKILLED,450,60,2.9,EXCELLENT,NONE,150,1,1,#8B8680,OO,Abundant in TN granitic terrain. Baker-style random rubble uses 40% less cement. Excellent for foundations in black cotton soil.
21,Granite Rubble (Coursed),MASONRY,Granite Rubble,Load-bearing exterior wall up to G+1,cum,3500,5000,4250,"Madurai,Krishnagiri,Dharmapuri,Salem,Namakkal","Chennai,Kanchipuram",GOOD,"Hot_Humid,Hot_Dry,Composite",5,1,LOCALLY_SOURCED,VERY_LOW,SKILLED,450,65,2.9,EXCELLENT,NONE,200,1,1,#9C9488,OO,Traditional TN construction. Requires skilled mason for proper bonding. Can be exposed finish—no plaster needed.
22,Laterite Stone Block (Malabar Type),MASONRY,Laterite Stone,Load-bearing wall and compound wall,per_piece,25,40,32.5,"Kanniyakumari,Tirunelveli,Tenkasi,Nilgiris","Chennai,Tiruchirappalli,Madurai",EXCELLENT,"Hot_Humid,Warm_Humid",5,1,LOCALLY_SOURCED,VERY_LOW,SEMI_SKILLED,200,3.5,0.52,GOOD,10_YEARS,100,1,1,#C4663A,+++,Available in southern TN near Kerala border. Hardens with exposure to air. Baker's preferred material. Naturally cool.
23,Stabilized Mud Block (CSEB 5%),MASONRY,Compressed Stabilized Earth Block,Load-bearing wall for single-storey buildings,per_piece,12,18,15,"Tiruchirappalli,Ariyalur,Pudukkottai,Dindigul,Madurai",,EXCELLENT,"Hot_Dry,Composite",5,1,LOCALLY_SOURCED,VERY_LOW,SEMI_SKILLED,230,5,0.6,POOR,5_YEARS,50,1,1,#B8860B,xxx,Auroville-pioneered technology. 5% cement stabilization. Needs waterproof coating in coastal TN. Interlocking version saves mortar.
24,Stabilized Mud Block (CSEB 8%),MASONRY,Compressed Stabilized Earth Block,Load-bearing wall up to G+1,per_piece,15,22,18.5,"Tiruchirappalli,Ariyalur,Pudukkottai,Dindigul,Viluppuram",,EXCELLENT,"Hot_Dry,Composite,Hot_Humid",4,1,LOCALLY_SOURCED,LOW,SEMI_SKILLED,230,7,0.65,AVERAGE,5_YEARS,60,1,1,#C49A3C,xxx,Higher cement for wet zones. Can be used for G+1 with proper RCC bands. Surface can be exposed with linseed oil finish.
25,CSEB Interlocking Block (Auroville Type),MASONRY,Compressed Stabilized Earth Block,Mortarless wall construction,per_piece,18,28,23,"Viluppuram,Cuddalore,Tiruchirappalli,Madurai","Chennai,Coimbatore",EXCELLENT,"Hot_Dry,Composite",5,1,LOCALLY_SOURCED,VERY_LOW,SKILLED,230,6,0.58,POOR,5_YEARS,50,1,1,#A0784C,xxx,Interlocking design eliminates mortar. Pioneered by Auroville Earth Institute near Puducherry. Not for coastal wet zones without protection.
26,Hollow Concrete Block 400x200x200mm,MASONRY,Concrete Block,Partition wall and compound wall,per_piece,35,50,42.5,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,200,5,1,AVERAGE,10_YEARS,60,1,0,#B0B0B0,...,Widely available across TN. Hollow core provides some insulation. Reinforce hollow cores with steel for seismic zones.
27,Solid Concrete Block 400x200x200mm,MASONRY,Concrete Block,Load-bearing wall and retaining wall,per_piece,45,65,55,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SEMI_SKILLED,200,8,1.44,GOOD,10_YEARS,70,1,1,#A0A0A0,...,Heavy; needs stronger foundation. Good for retaining walls in sloped TN terrain. Use insulation layer in hot districts.
28,Porotherm Clay Block 400x200x200mm,MASONRY,Hollow Clay Block,Infill wall in RCC frame,per_piece,55,75,65,"Chennai,Coimbatore,Madurai,Tiruchirappalli","Nilgiris,Ramanathapuram,Kanniyakumari",EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,200,3.5,0.22,AVERAGE,10_YEARS,60,1,0,#D9A066,////,Wienerberger product. Excellent thermal performance for TN summers. Reduces plastering thickness. Available in major TN cities.
29,RCC Flat Roof Slab (M25 Grade),ROOFING,RCC Slab,Flat roof for multi-storey residential,sqm,1800,2600,2200,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,VERY_HIGH,SKILLED,125,25,1.58,GOOD,10_YEARS,80,1,,#808080,\\\\,Standard TN urban construction. Add weathering course and heat reflective paint. Min 125mm for residential.
30,RCC Flat Roof Slab (M20 Grade),ROOFING,RCC Slab,Flat roof for G+1 residential,sqm,1500,2200,1850,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,VERY_HIGH,SKILLED,115,20,1.58,GOOD,10_YEARS,75,1,,#888888,\\\\,M20 adequate for spans up to 4m in residential. Use SRC (Steel Reinforced Concrete) tables for bar calculation.
31,Mangalore Clay Roof Tile,ROOFING,Clay Tile,Sloped roof 22-30 degree pitch,sqm,180,280,230,ALL,,EXCELLENT,"Hot_Humid,Warm_Humid",4,1,REGIONALLY_SOURCED,LOW,SKILLED,12,,0.84,GOOD,5_YEARS,50,1,,#B85C38,////,Traditional TN roofing. Excellent ventilation with ridge openings. Needs timber/steel truss. Replace broken tiles periodically.
32,Traditional Country Clay Tile (Nattukkal),ROOFING,Clay Tile,Sloped roof traditional residential,sqm,120,180,150,"Thanjavur,Nagapattinam,Tiruchirappalli,Madurai,Sivaganga","Chennai,Coimbatore",EXCELLENT,"Hot_Humid,Warm_Humid",5,1,LOCALLY_SOURCED,VERY_LOW,SKILLED,10,,0.81,AVERAGE,ANNUAL,30,1,,#A0522D,////,Handmade in delta districts. Cheapest roofing but needs annual maintenance. Double-layer installation recommended.
33,Calicut Tile (Half-Round),ROOFING,Clay Tile,Sloped roof for coastal residential,sqm,200,320,260,"Kanniyakumari,Tirunelveli,Tenkasi","Chennai,Tiruchirappalli",EXCELLENT,"Hot_Humid,Warm_Humid",4,1,REGIONALLY_SOURCED,LOW,SKILLED,12,,0.84,GOOD,5_YEARS,45,1,,#C0603C,////,Popular in southern TN from Kerala influence. Good rain drainage. Use with bamboo or timber purlins for Baker style.
34,Filler Slab Roof (Mangalore Tile Filler),ROOFING,Filler Slab,Flat roof with thermal comfort,sqm,1200,1800,1500,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,1,MANUFACTURED,MEDIUM,SPECIALIST,115,15,0.65,GOOD,10_YEARS,70,1,,#A08060,xxxx,Baker's signature technique. Replace 40% concrete with clay tiles. Saves steel and cement. CLC can be used as filler too.
35,Filler Slab Roof (Coconut Shell Filler),ROOFING,Filler Slab,Flat roof eco-friendly construction,sqm,1100,1600,1350,"Thanjavur,Nagapattinam,Tirunelveli,Kanniyakumari","Chennai,Salem",GOOD,"Hot_Humid,Warm_Humid",5,1,LOCALLY_SOURCED,LOW,SPECIALIST,115,12,0.55,AVERAGE,10_YEARS,60,1,,#8B6914,xxxx,Uses coconut shells from TN's coconut belt. Lightweight filler. Add waterproofing in coastal districts.
36,Filler Slab Roof (Earthen Pot Filler),ROOFING,Filler Slab,Flat roof for individual house,sqm,1150,1700,1425,ALL,,EXCELLENT,"Hot_Humid,Hot_Dry,Composite",5,1,LOCALLY_SOURCED,LOW,SPECIALIST,150,12,0.45,AVERAGE,10_YEARS,60,1,,#B88040,xxxx,Inverted earthen pots create air cavities. Excellent insulation for TN heat. Potter community supplies pots.
37,Jack Arch Roof (Brick),ROOFING,Jack Arch,Flat roof traditional construction,sqm,900,1400,1150,"Chennai,Tiruchirappalli,Madurai,Thanjavur","Nilgiris,Coimbatore",GOOD,"Hot_Humid,Hot_Dry",4,1,LOCALLY_SOURCED,LOW,SPECIALIST,115,10,0.7,AVERAGE,10_YEARS,80,1,,#CC8844,////,Traditional TN flat roof. Steel joists with brick arches. No centering needed. Good for spans up to 1.5m.
38,ZBAS Micro-Concrete Tile (MCR),ROOFING,Micro-Concrete Tile,Sloped roof for affordable housing,sqm,250,380,315,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,MANUFACTURED,MEDIUM,SKILLED,12,,0.72,GOOD,5_YEARS,40,1,,#909090,----,Developed by Shelter Associates. Good for mass housing. Can be made at site with MCR machine.
39,Galvanized Iron Sheet Roof (0.5mm),ROOFING,Metal Sheet,Sloped roof and temporary structure,sqm,280,400,340,ALL,,POOR,Hot_Dry,2,0,MANUFACTURED,HIGH,SEMI_SKILLED,0.5,,58,EXCELLENT,5_YEARS,20,1,,#C0C0C0,----,Cheap but extremely hot in TN summers. Add false ceiling with insulation. Noise during monsoon rain.
40,Colour Coated Steel Sheet Roof (0.45mm),ROOFING,Metal Sheet,Sloped roof modern residential,sqm,350,520,435,ALL,,POOR,"Hot_Dry,Composite",2,0,MANUFACTURED,HIGH,SEMI_SKILLED,0.45,,52,EXCELLENT,5_YEARS,25,1,,#4682B4,----,Better than GI sheet with polymer coating. Use insulation underneath. Tata/JSW brands available across TN.
41,Polycarbonate Sheet Roof (Translucent),ROOFING,Polycarbonate Sheet,Carport and staircase canopy,sqm,450,700,575,ALL,,POOR,"Hot_Humid,Warm_Humid",2,0,MANUFACTURED,HIGH,SEMI_SKILLED,6,,0.2,EXCELLENT,5_YEARS,15,1,,,,For daylighting in carports and stairwells. UV-protected grade mandatory in TN. Gets brittle after 10 years.
42,Bamboo Mat Board Roof Panel,ROOFING,Bamboo Panel,Sloped roof eco-friendly construction,sqm,200,350,275,"Tirunelveli,Tenkasi,Kanniyakumari,Nilgiris,Dindigul","Chennai,Tiruchirappalli",GOOD,"Hot_Humid,Warm_Humid",5,1,LOCALLY_SOURCED,VERY_LOW,SPECIALIST,25,,0.17,POOR,ANNUAL,15,0,,#D2B48C,||||,Bamboo from southern TN hills. Needs resin treatment and waterproof layer. Excellent insulation. Short lifespan.
43,RCC Waffle Slab Roof,ROOFING,RCC Slab,Large span flat roof residential,sqm,2200,3200,2700,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,VERY_HIGH,SPECIALIST,200,25,1.1,GOOD,10_YEARS,80,1,,#707070,\\\\,For large spans without beams. Complex formwork. Ribs create aesthetic ceiling pattern. Used in premium TN homes.
44,Black Galaxy Granite Floor Tile (Polished),FLOORING,Granite,Living room and formal areas,sqm,850,1400,1125,"Krishnagiri,Dharmapuri,Salem","Kanniyakumari,Ramanathapuram",AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,LOCALLY_SOURCED,MEDIUM,SKILLED,18,180,2.9,EXCELLENT,NONE,100,1,,,,TN is India's largest granite producer. Source from Krishnagiri/Dharmapuri belt for best prices.
45,Tan Brown Granite Floor Tile,FLOORING,Granite,Ground floor and porch,sqm,550,900,725,"Krishnagiri,Dharmapuri,Salem,Madurai","Kanniyakumari,Nilgiris",AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,LOCALLY_SOURCED,MEDIUM,SKILLED,18,170,2.9,EXCELLENT,NONE,100,1,,,,TN is India's largest granite producer. Source from Krishnagiri/Dharmapuri belt for best prices.
46,Imperial Red Granite Floor,FLOORING,Granite,Temple and traditional residential,sqm,650,1100,875,"Krishnagiri,Dharmapuri","Chennai,Tirunelveli",AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,LOCALLY_SOURCED,MEDIUM,SKILLED,18,175,2.9,EXCELLENT,NONE,100,1,,,,TN is India's largest granite producer. Source from Krishnagiri/Dharmapuri belt for best prices.
47,Steel Grey Granite Floor (Flamed),FLOORING,Granite,Bathroom and wet area flooring,sqm,500,800,650,"Salem,Krishnagiri,Dharmapuri,Madurai",Nilgiris,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,LOCALLY_SOURCED,MEDIUM,SKILLED,20,180,2.9,EXCELLENT,NONE,100,1,,,,TN is India's largest granite producer. Source from Krishnagiri/Dharmapuri belt for best prices.
48,Multicolor Granite Rough Finish,FLOORING,Granite,Outdoor patio and car porch,sqm,400,650,525,"Salem,Madurai,Krishnagiri,Erode",Nilgiris,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,LOCALLY_SOURCED,MEDIUM,SKILLED,20,160,2.9,EXCELLENT,NONE,100,1,,,,TN is India's largest granite producer. Source from Krishnagiri/Dharmapuri belt for best prices.
49,Cuddapah Black Stone Floor (Natural),FLOORING,Cuddapah Stone,Traditional pooja room and sit-out,sqm,350,550,450,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,1,REGIONALLY_SOURCED,LOW,SKILLED,25,45,1.3,GOOD,5_YEARS,80,1,,,,"Sourced from Andhra. Naturally cool surface—ideal for TN heat. Lime stone, not granite."
50,Cuddapah Stone Floor (Polished),FLOORING,Cuddapah Stone,Living room and bedroom,sqm,450,700,575,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,1,REGIONALLY_SOURCED,LOW,SKILLED,20,45,1.3,GOOD,5_YEARS,80,1,,,,"Sourced from Andhra. Naturally cool surface—ideal for TN heat. Lime stone, not granite."
51,Athangudi Handmade Tile (Traditional),FLOORING,Athangudi Tile,Living room and courtyard,sqm,250,450,350,"Sivaganga,Ramanathapuram,Pudukkottai","Chennai,Coimbatore,Salem",GOOD,"Hot_Humid,Hot_Dry",5,1,LOCALLY_SOURCED,VERY_LOW,SPECIALIST,15,,0.8,POOR,5_YEARS,40,1,,,,UNESCO-recognized craft from Karaikudi. Each tile handmade with mineral oxides. Seal with wax for longevity.
52,Athangudi Tile (Premium Heritage Pattern),FLOORING,Athangudi Tile,Heritage home and courtyard,sqm,400,700,550,"Sivaganga,Ramanathapuram","Chennai,Coimbatore,Salem,Erode",GOOD,"Hot_Humid,Hot_Dry",5,1,LOCALLY_SOURCED,VERY_LOW,SPECIALIST,15,,0.8,POOR,5_YEARS,40,1,,,,UNESCO-recognized craft from Karaikudi. Each tile handmade with mineral oxides. Seal with wax for longevity.
53,Athangudi Tile (Modern Geometric),FLOORING,Athangudi Tile,Interior feature wall and flooring,sqm,350,600,475,"Sivaganga,Ramanathapuram,Pudukkottai","Chennai,Coimbatore",GOOD,"Hot_Humid,Hot_Dry",5,1,LOCALLY_SOURCED,VERY_LOW,SPECIALIST,15,,0.8,POOR,5_YEARS,40,1,,,,UNESCO-recognized craft from Karaikudi. Each tile handmade with mineral oxides. Seal with wax for longevity.
54,Sivakasi Mosaic Floor Tile,FLOORING,Mosaic Tile,Kitchen and utility area,sqm,150,250,200,"Virudhunagar,Sivaganga,Madurai,Tirunelveli","Chennai,Nilgiris",AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,REGIONALLY_SOURCED,MEDIUM,SEMI_SKILLED,20,,1.1,GOOD,10_YEARS,50,1,,,,Sivakasi and Virudhunagar are TN mosaic tile hubs. Terrazzo technique with marble chips.
55,Vitrified Tile 600x600mm (Glossy),FLOORING,Vitrified Tile,Living room and bedroom,sqm,350,650,500,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SEMI_SKILLED,10,35,1.3,EXCELLENT,NONE,40,1,,,,"Standard vitrified/ceramic tile from Morbi, Gujarat. Wide range of finishes. Cool tile variants available for TN."
56,Vitrified Tile 600x1200mm (Double Charge),FLOORING,Vitrified Tile,Living room premium finish,sqm,500,900,700,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SKILLED,10,40,1.3,EXCELLENT,NONE,40,1,,,,"Standard vitrified/ceramic tile from Morbi, Gujarat. Wide range of finishes. Cool tile variants available for TN."
57,Vitrified Tile 800x800mm (Matt Anti-Skid),FLOORING,Vitrified Tile,Bathroom and balcony,sqm,400,700,550,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SEMI_SKILLED,10,35,1.3,EXCELLENT,NONE,40,1,,,,"Standard vitrified/ceramic tile from Morbi, Gujarat. Wide range of finishes. Cool tile variants available for TN."
58,Ceramic Wall Tile 300x450mm (Glossy),FLOORING,Ceramic Tile,Bathroom and kitchen wall dado,sqm,200,380,290,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SEMI_SKILLED,8,,1,EXCELLENT,NONE,30,1,,,,"Standard vitrified/ceramic tile from Morbi, Gujarat. Wide range of finishes. Cool tile variants available for TN."
59,Oxide Floor Finish (Red),FLOORING,Oxide Finish,Budget residential flooring,sqm,80,150,115,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,1,MANUFACTURED,LOW,SKILLED,25,,0.9,AVERAGE,5_YEARS,30,1,,,,Traditional red oxide floor common in TN older homes. Apply coconut oil weekly for shine.
60,Mud and Lime Floor (Polished),FLOORING,Mud Floor,Traditional and eco-friendly residential,sqm,50,100,75,ALL,,EXCELLENT,"Hot_Dry,Composite",5,1,LOCALLY_SOURCED,VERY_LOW,SPECIALIST,50,,0.5,POOR,ANNUAL,15,0,,,,Traditional TN thinai (foxtail millet) husk mixed with mud. Weekly cow dung wash in rural areas.
