principle_id,principle_name,category,description,application_condition,plot_area_min_sqm,plot_area_max_sqm,climate_zones,applicable_rooms,wall_thickness_mm,cost_saving_pct,material_saving_pct,thermal_benefit,implementation_detail,nbc_compliant,tncdbr_compliant,tn_districts_applicable,reference_source,drawing_impact
11,Rat-trap Bond Root Barrier Integration,WALL_CONSTRUCTION,"Incorporates polymer root barrier within cavity structure protecting foundations from underground growth, critical for Tamil Nadu plots adjacent to large trees or agricultural areas.","plot_area >= 500 AND soil_type IN ('laterite', 'clay') AND floors >= 2 AND budget_level >= 'medium'",,873.7,Hot_Humid,"terrace, prayer_room, balcony, verandah, living_room",150,12.6,2.2,NONE,Insert HDPE root barrier (1mm thickness) vertically along outer cavity edge. Extend 600mm below ground level. Seal with bentonite clay. Leave 50mm cavity for air circulation.,1,1,"Sivaganga, Chennai, Tiruvannamalai, Krishnagiri, Ariyalur","Baker 1983, Rural Housing Manual","Shows root barrier location in section and elevation, includes depth markers and underground extension details, adds horticultural impact notes."
12,Rat-trap Bond Moisture Reactive Layer,WALL_CONSTRUCTION,"Cavity infilled with hygroscopic material absorbing moisture during monsoon and releasing during dry season, maintaining internal humidity between 40-60% in Tamil Nadu humidity variations.",plot_area >= 400 AND climate_zone = 'humid_coastal' AND floors <= 3 AND soil_type = 'clay',189.3,,Hot_Dry,"entrance, verandah, living_room, terrace",200,28.8,25.5,LOW,Fill cavity with desiccant clay granules (8-12mm) maintaining 30mm depth. Encapsulate in breathable fabric. Replace every 3 years during maintenance cycle. Monitor humidity annually.,1,1,ALL,Benny Kuriakose 2003,"Includes humidity control strategy diagram, specifies desiccant material replacement schedule in maintenance notes, shows monitoring points in floor plans."
13,Rat-trap Bond Heritage Lime Aggregate,WALL_CONSTRUCTION,"Uses locally quarried materials—shell lime, beach sand, laterite aggregate—in cavity mortar, connecting modern construction to Tamil Nadu's historical building traditions and regional resources.","plot_area >= 500 AND climate_zone = 'humid_coastal' AND budget_level IN ('low', 'medium') AND soil_type != 'sandy'",58.7,1062.7,"Hot_Dry, Composite","pooja_room, courtyard, dining",200,13,31.2,NONE,"Source beach-deposited shell lime (35%), local river sand (50%), laterite aggregate (15%). Mix with 5% pozzolanic ash. Achieve 20 MPa strength. Apply 40mm layers.",1,1,"Dindigul, Pudukkottai, Krishnagiri, Tenkasi, Madurai",COSTFORD Workshop Notes 1988,"Includes regional material sourcing map, specifies heritage aggregate composition, adds local supplier references, notes historical context and precedent."
14,Rat-trap Bond Modular Partition System,WALL_CONSTRUCTION,"Cavity allows embedded horizontal channels for future utility routing, enabling flexible interior reconfiguration without structural damage, adapting to evolving Tamil Nadu family needs.","plot_area >= 600 AND floors >= 2 AND budget_level >= 'medium' AND climate_zone IN ('tropical_hot', 'urban_tropical')",,,Hot_Humid,"verandah, dining",150,34.4,34.7,HIGH,Embed PVC conduit (20-25mm) horizontally every 1.2m in cavity. Space 300mm apart vertically. Connect to central junction boxes every 3m. Maintain accessibility ports yearly.,1,0,ALL,COSTFORD Field Guide 1994,"Shows utility channel routing in technical drawings, includes junction box locations in floor plans, adds conduit gauge specifications, provides future reconfiguration guidelines."
15,Rat-trap Bond Solar Integration Ready,WALL_CONSTRUCTION,"Cavity designed with reinforced anchor points enabling future photovoltaic or solar thermal system attachment without wall penetration, future-proofing Tamil Nadu homes for renewable energy.",plot_area >= 450 AND floors <= 3 AND budget_level >= 'medium' AND climate_zone = 'tropical_hot',,538.7,Hot_Dry,"pooja_room, courtyard, utility, corridor",100,34.7,4.4,LOW,Install M16 anchor bolts every 1.5m in cavity fill during construction. Position at 300mm height interval. Embed in epoxy-bonded pockets. Provide technical documentation for future retrofitting.,1,1,ALL,BMTPC Guidelines 2001,"Shows anchor point locations in elevation and section details, includes load calculation notes for PV systems, adds future renewable energy specifications and installation guidelines."
16,Ventilated Filler Slab With Air Gap,ROOF_SYSTEM,A modified filler slab incorporating continuous air channels between filler materials and structural beams to enhance thermal performance and moisture regulation in high-humidity Tamil Nadu climates.,"(plot_area >= 1000 AND climate_zone = 'tropical_humid' AND floors <= 3 AND soil_type IN ('clay', 'laterite')) OR (budget_level >= 'medium')",73.3,356.4,"Hot_Humid, Warm_Humid, Hot_Dry","living_room, garage, courtyard",200,27.5,12.5,LOW,Install 50mm diameter PVC pipes at 1.2m spacing longitudinally; fill gaps with clay brick filler; plaster with lime-cement mortar; leave 25mm air pocket along beam sides.,1,1,ALL,BMTPC Guidelines 2001,Shows cross-sectional air channels marked with dashed lines; section elevation displays pipe placement; annotated ventilation paths in construction details.
17,Brick Jali Filler Slab Composite,ROOF_SYSTEM,"Traditional brick jaali pattern integrated as filler material within structural grid, reducing weight while maintaining structural integrity and providing passive ventilation pathways.","(climate_zone IN ('tropical_humid', 'tropical_dry') AND floors <= 2 AND soil_type = 'laterite') AND (budget_level IN ('low', 'medium'))",179.4,545.7,"Hot_Humid, Warm_Humid, Hot_Dry","balcony, kitchen, pooja_room, wash_area",230,5.4,29,LOW,Lay half-brick jaali in stretcher bond pattern as filler; use 1:4 lime mortar; leave 40mm gaps between jaali and secondary beams; finish with mud plaster coating.,1,1,"Karur, Sivaganga, Thoothukudi, Cuddalore, Tirunelveli, Villupuram, Tiruvannamalai",BMTPC Guidelines 2001,Section view shows jaali pattern detail; axonometric drawing reveals geometric pore distribution; material schedule distinguishes jaali bricks from structural elements.
18,Lightweight Expanded Clay Filler,ROOF_SYSTEM,"Expanded clay aggregates used as filler material providing superior insulation, reduced dead load, and improved durability against Tamil Nadu's monsoon moisture penetration.","(plot_area >= 1500 AND climate_zone = 'tropical_humid' AND floors IN (2, 3) AND soil_type IN ('clay', 'silt')) AND (budget_level >= 'medium')",147.3,791.6,Hot_Humid,"living_room, prayer_room, verandah, kitchen",,17.6,22.7,MEDIUM,Spread 150mm expanded clay aggregate layer; compact to 90% density; install waterproof membrane below; apply 40mm RC topping with 0.5% reinforcement mesh.,1,1,"Madurai, Krishnagiri, Tiruvarur, Theni, Salem, Pudukkottai",HUDCO Technical Bulletin 1995,Material legend indicates expanded clay coloration; section shows density gradient; waterproofing membrane drawn as continuous line above filler layer.
19,Stabilized Earth Brick Filler System,ROOF_SYSTEM,"Locally-sourced stabilized earth bricks as filler material, promoting sustainable construction while providing thermal mass and maintaining vernacular Tamil Nadu building traditions.","(climate_zone = 'tropical_dry' AND plot_area >= 800 AND floors <= 2 AND soil_type = 'laterite') AND (budget_level IN ('low', 'medium'))",,,"Hot_Dry, Hot_Humid, Composite","living_room, courtyard, staircase, kitchen",,27,2.3,MEDIUM,Use 200x100x100mm stabilized earth bricks; bond in running bond pattern; apply rice-husk clay mortar; seal with natural plaster; ensure 30mm edge clearance from beams.,1,0,"Coimbatore, Madurai, Perambalur, Tiruchirappalli, Dharmapuri, Krishnagiri","Baker 1983, Rural Housing Manual",Earth brick texture shown in elevation; plan view indicates brick orientation; section detail shows earth brick size; construction notes specify stabilization method.
20,Coir Fiber Reinforced Filler Composite,ROOF_SYSTEM,"Coir fiber-enriched filler material combining local agricultural waste with lime-clay matrix, improving tensile strength and providing sustainable waste utilization solution.","(climate_zone IN ('tropical_humid', 'tropical_dry') AND floors <= 2 AND soil_type IN ('clay', 'laterite')) AND (budget_level = 'low')",174.1,1800.7,Hot_Humid,"living_room, store_room",230,32.6,29.4,HIGH,Mix 40kg coir fiber per cubic meter into lime-clay matrix; layer 150mm thickness; compress with hand tampers; allow 14-day curing; finish with mud plaster.,1,1,ALL,HUDCO Technical Bulletin 1995,Cross-section displays fiber orientation lines; material callout notes coir percentage; construction sequence diagram shows compression steps.
21,Hollow Ceramic Block Filler Section,ROOF_SYSTEM,"Industrial hollow ceramic blocks as filler providing enhanced thermal insulation, improved water drainage, and reduced structural load while maintaining design aesthetics.","(plot_area >= 1200 AND climate_zone = 'tropical_humid' AND floors IN (2, 3) AND soil_type = 'clay') AND (budget_level >= 'medium')",163.3,1552.8,Hot_Humid,"pooja_room, balcony, entrance, courtyard, utility",300,20.2,7.3,MEDIUM,Install 300x150x150mm hollow ceramic blocks; orient cavities downward for water drainage; bed in lime mortar; apply self-healing clay render finish.,1,1,"Ariyalur, Cuddalore, Virudhunagar, Tiruvarur, Ramanathapuram, Pudukkottai, Coimbatore, Namakkal",Kerala State Housing Board 1990,Isometric view shows hollow block cavity arrangement; section indicates void orientation; material schedule lists block dimensions and cavity percentage.
22,Lime Mortar Stabilized Aggregate Filler,ROOF_SYSTEM,"Traditional lime mortar binding locally-available aggregate filler, providing carbonation-based curing mechanism and self-healing properties ideal for monsoonal Tamil Nadu climate.","(climate_zone = 'tropical_humid' AND plot_area >= 900 AND floors <= 3 AND soil_type IN ('laterite', 'clay')) AND (budget_level IN ('low', 'medium'))",,596.9,Hot_Dry,"prayer_room, garage, verandah, utility",,25.2,10.7,MEDIUM,Mix 1:3 lime to coarse aggregate; add 10% brick dust; layer 160mm thickness; tamp gently; cure for 21 days with periodic water spraying during monsoon.,1,1,ALL,Benny Kuriakose 2003,Section shows aggregate size variation; notes indicate 21-day cure period; drawing includes moisture control details for monsoon conditions.
23,Recycled Concrete Rubble Filler Layer,ROOF_SYSTEM,"Crushed concrete debris from demolition sites repurposed as filler material, promoting circular economy while providing structural stability and cost optimization.","(plot_area >= 1400 AND climate_zone IN ('tropical_humid', 'tropical_dry') AND floors <= 2) AND (budget_level = 'low') AND (soil_type != 'organic')",102.2,1864,Warm_Humid,"prayer_room, kitchen",,24.6,2.8,MEDIUM,Use 40-60mm recycled concrete pieces; compact in 100mm lifts; achieve 95% proctor density; bind with thin lime mortar layer; seal with bituminous coating.,1,1,"Thoothukudi, Kanchipuram, Coimbatore, Virudhunagar, Nagapattinam",COSTFORD Workshop Notes 1988,Plan view shows recycled aggregate source notation; section distinguishes rubble layer with cross-hatching; specification table lists recycled material percentage.
24,Composite Sand-Lime-Shell Filler,ROOF_SYSTEM,"Three-component filler combining local sand, lime, and discarded oyster shells from coastal Tamil Nadu, providing self-cementing properties and enhanced durability.",(climate_zone = 'tropical_humid' AND plot_area >= 1100 AND floors <= 2 AND soil_type = 'clay') AND (distance_to_coast <= '50km') AND (budget_level >= 'low'),65.3,495.7,"Hot_Dry, Hot_Humid, Warm_Humid","bedroom, garage, prayer_room, pooja_room",230,20.3,6.6,HIGH,"Blend 60% sand, 30% lime, 10% crushed oyster shells; apply 140mm layer; compact with 5kg rammer; allow 28-day hydration curing with regular sprinkling.",1,1,ALL,COSTFORD Workshop Notes 1988,Legend identifies shell composite layer uniquely; section view notes proximity to coastal resource; material source diagram added to specifications.
25,Interlocking Brick Pattern Filler Vault,ROOF_SYSTEM,"Interlocking brick filler arranged in vault-like pattern, transferring loads efficiently while creating thermal mass and maintaining structural aesthetics through geometric articulation.","(climate_zone IN ('tropical_humid', 'tropical_dry') AND floors IN (1, 2) AND plot_area >= 1000) AND (soil_type IN ('laterite', 'clay')) AND (budget_level IN ('medium', 'high'))",,303.5,Hot_Dry,"pooja_room, dining, bathroom, bedroom, balcony",,31.1,14.4,MEDIUM,Arrange bricks in herringbone vault pattern; span direction perpendicular to beams; use 1:3 lime mortar; maintain 50mm clearance at supports; finish with lime plaster.,1,1,ALL,HUDCO Technical Bulletin 1995,Plan view shows herringbone brick orientation; section reveals vault geometry; 3D axonometric clarifies load transfer paths; detail callouts specify brick arrangement.
26,Natural Gypsum Plaster Filler Base,ROOF_SYSTEM,"Gypsum-based filler material providing excellent moisture absorption, fire resistance, and indoor air quality improvement while maintaining vapor permeability for monsoon climates.",(climate_zone = 'tropical_humid' AND plot_area >= 1300 AND floors <= 2) AND (soil_type = 'clay') AND (budget_level = 'high'),148,295,"Composite, Hot_Dry","garage, utility",,19.7,21.1,NONE,Apply 120mm gypsum-based mortar in three 40mm coats; allow 7-day cure between coats; embed glass fiber mesh; finish with natural plaster wash.,1,1,"Coimbatore, Karur, Nilgiris, Sivaganga, Virudhunagar",HUDCO Technical Bulletin 1995,Section shows three-layer gypsum application; mesh reinforcement drawn as dotted pattern; schedule specifies gypsum composition and cure timeline.
27,Modular Terracotta Unit Filler System,ROOF_SYSTEM,"Pre-cast modular terracotta units designed as standardized filler components, enabling rapid construction assembly while preserving thermal mass and traditional material heritage.","(climate_zone IN ('tropical_humid', 'tropical_dry') AND floors IN (1, 2) AND plot_area >= 1050) AND (soil_type IN ('laterite', 'clay')) AND (budget_level >= 'medium')",197.5,1669.3,Hot_Dry,"pooja_room, wash_area, dining",300,15.8,10.6,NONE,Stack 300x300x100mm terracotta modules in stretcher pattern; interlock with lime mortar joints; 25mm expansion allowance at edges; apply lime-clay finish coating.,1,0,"Krishnagiri, Vellore, Salem, Kanchipuram, Theni","Baker 1970, Building Techniques",Modular unit dimensions shown in detail; plan view displays module grid layout; section indicates stacking sequence; 3D isometric shows assembly progression.
28,Pitched Jack Arch with Thermal Mass,ROOF_SYSTEM,"Sloped jack arch roof design incorporating thermal mass through clay brick masonry, reducing heat penetration while maintaining Laurie Baker's structural efficiency. Angled construction promotes water drainage in high-rainfall Tamil Nadu regions.","plot_area >= 500 AND climate_zone IN ('tropical_humid', 'coastal') AND floors <= 2 AND budget_level IN ('moderate', 'premium')",45.7,475.5,Hot_Dry,"bathroom, corridor",230,23.5,12.7,HIGH,Construct jack arches at 15-20 degree pitch using interlocking clay bricks. Install lime-mortar joints with 50mm air gap beneath for thermal insulation. Grade terrace using local stone aggregate for positive drainage.,1,1,ALL,"Baker 1986, COSTFORD Manual",Plan views show angled arch centerlines; sections display pitched profile with thermal air cavity; elevation shows sloped edges; structural schedule includes pitched arch span calculations and brick orientation details.
29,Segmented Jack Arch Vaulting System,ROOF_SYSTEM,Multi-span segmented jack arch configuration allowing flexible internal partitioning without interior columns. Reduces structural load while maintaining Baker's principle of arch efficiency across varying span requirements for Tamil Nadu homes.,"plot_area >= 800 AND floors IN (2, 3) AND budget_level IN ('moderate', 'premium') AND soil_type IN ('laterite', 'clay')",157.5,1940.2,"Composite, Hot_Dry","entrance, balcony, bathroom, utility",200,19.4,29.4,NONE,Design parallel jack arches at 1.5m centers spanning 4-6m using load-bearing masonry walls. Segment arches every 2.5m with expansion joints using cork or rubber strips. Distribute concentrated loads through brick corbelling.,1,1,ALL,COSTFORD Field Guide 1994,Grid-based plan layout with repeating arch modules; sections show segmented arch profiles with expansion joints; structural drawings detail corbel spacing and arch intersection points; load path diagrams illustrate force distribution.
30,Hollow Clay Block Jack Arch Integration,ROOF_SYSTEM,"Incorporation of lightweight hollow clay blocks within jack arch shell structure, reducing dead load by 40% while maintaining load-bearing capacity. Enhances thermal performance and accelerates construction in Tamil Nadu's building environment.","plot_area >= 400 AND climate_zone = 'tropical_humid' AND floors <= 2 AND budget_level IN ('budget', 'moderate') AND soil_type != 'black_soil'",57.2,637.7,Hot_Dry,"kitchen, prayer_room",300,34.7,8.5,NONE,Fill jack arch cavities with hollow clay blocks (150mm x 300mm x 100mm) set in lime mortar. Maintain 100mm bearing on masonry walls. Bond blocks to arch ribs using shear-key projections every fourth block course.,1,1,"Tiruvannamalai, Krishnagiri, Erode",Auroville Earth Institute 2005,Sections show hollow block infill pattern within arch; details highlight shear-key geometry and block coursing; material schedules distinguish between arch ribs and infill blocks; weight calculations demonstrate load reduction benefits.
31,Stepped Arch Foundation Integration Roof,ROOF_SYSTEM,Jack arch roof design coordinated with stepped foundation systems accommodating sloped terrain in Tamil Nadu hill stations. Maintains structural continuity while adapting to 1:3 slopes common in Nilgiris and Kodaikanal regions.,"plot_area >= 600 AND climate_zone IN ('tropical_temperate', 'hill_station') AND floors IN (1, 2) AND soil_type IN ('laterite', 'rocky')",191.6,322.8,"Hot_Humid, Hot_Dry","verandah, entrance, prayer_room",,4.8,38.8,MEDIUM,Construct stepped retaining walls with jack arch roofs spanning between steps. Each arch tier rises 500-750mm vertically with horizontal runs of 2-3m. Use stone masonry for stepped supports; clay brick arches for spanning members.,0,0,ALL,HUDCO Technical Bulletin 1995,Sections depict stepped profile with individual arch tiers; plans show terraced footprint; elevation drawings show layered arch arrangement; structural details include step height-to-arch span ratios and inter-tier connection specifications.
32,Double-Layer Jack Arch Ventilation Strategy,ROOF_SYSTEM,"Dual jack arch layers with strategic ventilation channels between them, creating stack-effect cooling without mechanical systems. Optimized for Tamil Nadu's high humidity and heat stress, reducing indoor temperatures by 5-8 degrees Celsius.","climate_zone IN ('coastal', 'tropical_humid') AND plot_area >= 500 AND floors = 2 AND budget_level IN ('moderate', 'premium')",,339.5,"Hot_Dry, Warm_Humid, Hot_Humid","wash_area, bathroom",300,9.9,34.3,LOW,Install lower arch carrying structural loads at 3.5m span; upper arch at 4m span with 250mm clear airspace. Create stack vents at eaves and ridge using clay pipes (100mm diameter). Ventilation openings sized at 2% of roof area.,1,1,"Chennai, Coimbatore, Tiruvannamalai, Karur, Cuddalore, Tenkasi",Kerala State Housing Board 1990,Sections show dual arch layers with airflow arrows; plans indicate vent pipe locations at perimeter; details show vent pipe integration with arch ribs; air flow diagrams demonstrate stack effect principles; thermal performance annotations included.
33,Rainwater Harvesting Jack Arch Parapet,ROOF_SYSTEM,Modified jack arch crown with integrated parapet containing collection channels and filtration systems for rainwater harvesting. Complements Baker's efficiency principle while addressing Tamil Nadu's water scarcity through passive collection.,"plot_area >= 300 AND climate_zone IN ('tropical_humid', 'tropical_dry') AND floors <= 3 AND budget_level IN ('moderate', 'premium')",149.6,960,"Hot_Dry, Composite","courtyard, verandah, corridor, pooja_room, bedroom",,4.8,33.1,LOW,Construct 400mm high parapet as perforated brick shell above arch crown. Integrate 100mm wide collection channel lined with lime mortar along inner face. Connect channel to storage tanks via 100mm PVC pipes with first-flush diverter.,1,0,ALL,Auroville Earth Institute 2005,Plan views show channel routing and pipe penetrations; sections display parapet-arch junction with collection trough; elevation highlights parapet profile; details illustrate filter bed arrangement and tank connection specifications.
34,Tapered Load-Bearing Arch Buttress System,ROOF_SYSTEM,"Jack arch roof supported by tapered masonry buttresses aligned with internal spaces, enabling wider spanning capability while maintaining earth-brick construction idiom. Reduces column count while optimizing structural stability in Tamil Nadu's moderate seismic zones.","plot_area >= 1000 AND floors IN (2, 3) AND budget_level = 'premium' AND soil_type IN ('laterite', 'clay') AND climate_zone NOT IN ('coastal_high_seismic')",91.3,1135.2,Hot_Dry,"living_room, verandah, bathroom",300,12,27.6,LOW,"Design buttresses tapering from 600mm base to 300mm top, spaced 4-5m apart. Integrate buttresses into plan layout as room dividers or screened spaces. Jack arches span 5-6m between buttresses using 230mm thick brick ribs.",1,1,ALL,Laurie Baker Centre 2010,Plans show buttress locations integrated with room layouts; sections display arch profile and buttress taper; elevations highlight buttress-arch expression; structural grid plans indicate load transfer paths through buttress system.
35,Modular Jack Arch Light-Shelf Integration,ROOF_SYSTEM,Jack arch roof incorporating light-shelf reflectors at arch intrados (curved inner surface) to redirect daylight deeper into interior spaces. Reduces artificial lighting load while maintaining Baker's material efficiency through passive daylighting strategies.,"plot_area >= 400 AND floors <= 2 AND climate_zone IN ('tropical_humid', 'tropical_dry') AND budget_level IN ('moderate', 'premium')",,1229.6,"Hot_Dry, Hot_Humid, Warm_Humid","dining, corridor, kitchen, pooja_room, courtyard",,29.3,16.1,LOW,"Install whitewashed lime-mortar light-shelves on inner arch surface at 2m intervals along 3.5m spans. Shelves 300mm deep, angled 45 degrees. Coordinate with operable vents at high wall level to channel reflected light without heat gain.",1,1,ALL,COSTFORD Workshop Notes 1988,Sections show light-shelf geometry with 45-degree angle and light ray diagrams; details illustrate shelf-arch connection with mortar joint specifications; plans indicate shelf locations and daylighting zones; photometric diagrams show illumination distribution.
