record_id,district,climate_zone,avg_temp_summer_c,avg_temp_winter_c,avg_temp_annual_c,max_temp_c,min_temp_c,annual_rainfall_mm,monsoon_months,relative_humidity_summer_pct,relative_humidity_winter_pct,prevailing_wind_direction,prevailing_wind_speed_kmh,solar_radiation_kwh_m2_day,latitude_degrees,longitude_degrees,ecbc_climate_zone,optimal_plot_facing,window_north_score,window_south_score,window_east_score,window_west_score,recommended_overhang_depth_m,wall_thickness_recommendation_mm,roof_type_recommendation,cross_ventilation_priority,courtyard_benefit,passive_strategy_1,passive_strategy_2,passive_strategy_3,window_to_wall_ratio_recommended,floor_plan_orientation_rule,imd_reference
11,Madurai,Hot_Dry,35.4,25.9,30.2,43,17.7,934,"Sep,Oct,Nov",57.1,54.9,SW,8.4,5.68,9.9157,78.1421,Hot-Dry,N,0.91,0.72,0.58,0.33,0.64,300,Thick RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls (300mm+) for high thermal mass and time-lag cooling,Internal courtyard with water body for evaporative cooling,Small recessed windows with deep reveals to limit solar gain,0.16,Compact square plan around central courtyard; thick W wall with no/minimal openings; bedrooms on N with small high windows; kitchen on E to use morning sun; living opens into shaded courtyard,Madurai Airport
12,Madurai,Hot_Dry,35.7,26.2,31.4,43.6,18.1,842,"Sep,Oct,Nov",59.5,56.1,N,9,5.85,9.9176,78.1386,Hot-Dry,NE,0.93,0.68,0.64,0.32,0.74,350,Mud-lime terrace roof with terracotta tile insulation,LOW,HIGH,Earth-sheltered or semi-basement rooms for ground-coupled cooling,Mud plaster or lime render on exterior for radiant heat reduction,Double-wall cavity construction for thermal insulation,0.18,Inward-looking plan around water-featured courtyard; bedrooms on N and E sides; W wall buffered by store rooms and staircase; kitchen on SE; underground cellar for peak-heat refuge,Madurai Airport
13,Madurai,Hot_Dry,34.8,25.5,29.7,42.2,17.1,882,"Sep,Oct,Nov",59.3,56.4,NE,9.2,5.8,9.9072,78.1226,Hot-Dry,NW,0.94,0.73,0.63,0.28,0.53,400,Filler slab with mud plaster topping,MEDIUM,HIGH,Evaporative cooling tower (wind-catcher with wet pads),Insulated flat roof with terracotta tile layer for thermal buffer,Underground water tank beneath courtyard for radiant cooling,0.19,Dense cluster plan with shared party walls to reduce exposed surfaces; rooms arranged around internal court; sleeping on N upper floor with terrace; kitchen on ground E side; W wall solid with niches,Madurai Airport
14,Madurai,Hot_Dry,35.2,25.8,30.3,42.8,17.5,843,"Sep,Oct,Nov",58.4,53,NW,9,5.64,9.9034,78.1151,Hot-Dry,N-NE,0.95,0.78,0.57,0.25,0.71,300,Double-layer flat roof with ventilated cavity,LOW,HIGH,Cluster housing layout with shared shade corridors,High-albedo exterior finishes to reflect 70%+ solar radiation,Jali screens on W facade to filter harsh afternoon sun,0.15,"Compact plan, courtyard centered; living on N opening to court; bedrooms on NE upper level for night cooling; kitchen E ground floor; W and S walls thick with minimal fenestration; basement for summer retreat",Madurai Airport
15,Madurai,Hot_Dry,35,25.6,29.9,42.4,17.2,751,"Sep,Oct,Nov",59.1,55.6,SW,11,5.7,9.9282,78.109,Hot-Dry,N-NW,0.84,0.76,0.63,0.31,0.75,350,RCC slab with inverted earthen pot insulation layer,MEDIUM,HIGH,Thick rammed-earth walls with embedded cooling pipes,Roof pond with movable insulation for night sky radiative cooling,Dense tree canopy over outdoor living spaces for micro-climate,0.21,Square courtyard plan; N-facing rooms for habitation; W and S walls double-layered with cavity; kitchen on E side; central court with fountain for evaporative cooling; rooms interconnected through court,Madurai Airport
16,Tiruchirappalli,Hot_Dry,35.7,25.4,30.2,43.4,18.1,918,"Sep,Oct,Nov",55,51.3,SW,9,5.72,10.7676,78.6675,Hot-Dry,N,0.94,0.71,0.6,0.3,0.51,300,Thick RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls (300mm+) for high thermal mass and time-lag cooling,Internal courtyard with water body for evaporative cooling,Small recessed windows with deep reveals to limit solar gain,0.18,Compact square plan around central courtyard; thick W wall with no/minimal openings; bedrooms on N with small high windows; kitchen on E to use morning sun; living opens into shaded courtyard,Tiruchirappalli Airport
17,Tiruchirappalli,Hot_Dry,36.2,25.8,31.2,44.1,18.7,913,"Sep,Oct,Nov",54,52.3,NW,8.6,5.53,10.7793,78.7026,Hot-Dry,NE,0.95,0.77,0.62,0.33,0.65,350,Mud-lime terrace roof with terracotta tile insulation,LOW,HIGH,Earth-sheltered or semi-basement rooms for ground-coupled cooling,Mud plaster or lime render on exterior for radiant heat reduction,Double-wall cavity construction for thermal insulation,0.22,Inward-looking plan around water-featured courtyard; bedrooms on N and E sides; W wall buffered by store rooms and staircase; kitchen on SE; underground cellar for peak-heat refuge,Tiruchirappalli Airport
18,Tiruchirappalli,Hot_Dry,35.3,25.1,30.6,42.8,17.6,832,"Sep,Oct,Nov",56.7,50.4,NE,9.4,5.59,10.7904,78.6995,Hot-Dry,NW,0.9,0.81,0.54,0.33,0.72,400,Filler slab with mud plaster topping,MEDIUM,HIGH,Evaporative cooling tower (wind-catcher with wet pads),Insulated flat roof with terracotta tile layer for thermal buffer,Underground water tank beneath courtyard for radiant cooling,0.18,Dense cluster plan with shared party walls to reduce exposed surfaces; rooms arranged around internal court; sleeping on N upper floor with terrace; kitchen on ground E side; W wall solid with niches,Tiruchirappalli Airport
19,Tiruchirappalli,Hot_Dry,35.4,25.2,30.6,42.9,17.8,902,"Sep,Oct,Nov",56.3,53.4,NW,8.4,5.63,10.7684,78.7039,Hot-Dry,N-NE,0.85,0.71,0.63,0.32,0.58,300,Double-layer flat roof with ventilated cavity,LOW,HIGH,Cluster housing layout with shared shade corridors,High-albedo exterior finishes to reflect 70%+ solar radiation,Jali screens on W facade to filter harsh afternoon sun,0.17,"Compact plan, courtyard centered; living on N opening to court; bedrooms on NE upper level for night cooling; kitchen E ground floor; W and S walls thick with minimal fenestration; basement for summer retreat",Tiruchirappalli Airport
20,Tiruchirappalli,Hot_Dry,36,25.7,31,43.8,18.4,915,"Sep,Oct,Nov",53.7,52.4,N,7.8,5.83,10.7928,78.6893,Hot-Dry,N-NW,0.93,0.76,0.63,0.28,0.71,350,RCC slab with inverted earthen pot insulation layer,MEDIUM,HIGH,Thick rammed-earth walls with embedded cooling pipes,Roof pond with movable insulation for night sky radiative cooling,Dense tree canopy over outdoor living spaces for micro-climate,0.22,Square courtyard plan; N-facing rooms for habitation; W and S walls double-layered with cavity; kitchen on E side; central court with fountain for evaporative cooling; rooms interconnected through court,Tiruchirappalli Airport
21,Salem,Hot_Dry,34,23.8,28.6,40.7,15.4,861,"Sep,Oct,Nov",51,46.8,W,8.6,5.45,11.6292,78.14,Hot-Dry,N,0.91,0.76,0.6,0.3,0.63,300,Thick RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls (300mm+) for high thermal mass and time-lag cooling,Internal courtyard with water body for evaporative cooling,Small recessed windows with deep reveals to limit solar gain,0.23,Compact square plan around central courtyard; thick W wall with no/minimal openings; bedrooms on N with small high windows; kitchen on E to use morning sun; living opens into shaded courtyard,Salem
22,Salem,Hot_Dry,34.7,24.4,30,41.9,16.3,899,"Sep,Oct,Nov",52.9,47.8,E,8.7,5.7,11.6327,78.139,Hot-Dry,NE,0.96,0.68,0.61,0.28,0.59,350,Mud-lime terrace roof with terracotta tile insulation,LOW,HIGH,Earth-sheltered or semi-basement rooms for ground-coupled cooling,Mud plaster or lime render on exterior for radiant heat reduction,Double-wall cavity construction for thermal insulation,0.17,Inward-looking plan around water-featured courtyard; bedrooms on N and E sides; W wall buffered by store rooms and staircase; kitchen on SE; underground cellar for peak-heat refuge,Salem
23,Salem,Hot_Dry,35,24.6,29.7,42.3,16.6,890,"Sep,Oct,Nov",51.5,47.3,SE,8.3,5.51,11.628,78.1472,Hot-Dry,NW,0.93,0.76,0.62,0.3,0.53,400,Filler slab with mud plaster topping,MEDIUM,HIGH,Evaporative cooling tower (wind-catcher with wet pads),Insulated flat roof with terracotta tile layer for thermal buffer,Underground water tank beneath courtyard for radiant cooling,0.18,Dense cluster plan with shared party walls to reduce exposed surfaces; rooms arranged around internal court; sleeping on N upper floor with terrace; kitchen on ground E side; W wall solid with niches,Salem
24,Salem,Hot_Dry,34.2,23.9,29.4,40.9,15.6,1029,"Sep,Oct,Nov",50.2,48.2,NE,9,5.58,11.6613,78.1525,Hot-Dry,N-NE,0.9,0.72,0.54,0.36,0.67,300,Double-layer flat roof with ventilated cavity,LOW,HIGH,Cluster housing layout with shared shade corridors,High-albedo exterior finishes to reflect 70%+ solar radiation,Jali screens on W facade to filter harsh afternoon sun,0.15,"Compact plan, courtyard centered; living on N opening to court; bedrooms on NE upper level for night cooling; kitchen E ground floor; W and S walls thick with minimal fenestration; basement for summer retreat",Salem
25,Salem,Hot_Dry,34.3,24,29.3,41.2,15.7,992,"Sep,Oct,Nov",51.4,48.6,SW,6.4,5.68,11.6422,78.1538,Hot-Dry,N-NW,0.93,0.79,0.56,0.33,0.62,350,RCC slab with inverted earthen pot insulation layer,MEDIUM,HIGH,Thick rammed-earth walls with embedded cooling pipes,Roof pond with movable insulation for night sky radiative cooling,Dense tree canopy over outdoor living spaces for micro-climate,0.18,Square courtyard plan; N-facing rooms for habitation; W and S walls double-layered with cavity; kitchen on E side; central court with fountain for evaporative cooling; rooms interconnected through court,Salem
26,Tirunelveli,Warm_Humid,33.1,25.6,28.9,41.1,19.6,705,"Jun,Jul,Oct,Nov",63.3,60.8,SW,12.3,5.47,8.717,77.7166,Warm-Humid,N,0.98,0.73,0.56,0.32,0.72,200,Mangalore tile pitched roof with open ridge ventilation,CRITICAL,MEDIUM,Large operable windows on N and S for prevailing breeze capture,Lightweight well-insulated roof to reduce radiant heat gain,Stilted or raised floor construction for under-floor ventilation,0.31,Orient long axis E-W; bedrooms on N facing prevailing wind with full-height windows; kitchen on SE with roof ventilator; living space open-plan on NE; verandah wrapping N and E for shaded outdoor use,Tirunelveli
27,Tirunelveli,Warm_Humid,32.9,25.4,29.5,40.8,19.3,694,"Jun,Jul,Oct,Nov",66.7,58.7,NW,12.3,5.54,8.7546,77.7083,Warm-Humid,NE,0.9,0.73,0.59,0.36,0.82,230,Filler slab with double-layered country tile,HIGH,LOW,Wide overhanging eaves (750mm+) for monsoon rain protection and shading,Ventilated ridge roof design for continuous hot-air exhaust,Courtyard with dense canopy trees to create cool micro-climate,0.3,E-W plan; sleeping wing on N with operable walls for monsoon breeze; kitchen on E with high exhaust openings; living on NE; deep covered verandah on S for rain protection; service rooms buffer W,Tirunelveli
28,Tirunelveli,Warm_Humid,32.7,25.2,28.5,40.4,19.1,832,"Jun,Jul,Oct,Nov",63.7,59.4,NW,9.6,5.43,8.7201,77.7008,Warm-Humid,NW,0.95,0.67,0.54,0.35,0.84,230,Sloped roof with bamboo-mat ceiling and ventilated attic,HIGH,LOW,Full-length louvered doors for maximum ventilation when open,Double-layered Mangalore tile roof with ventilated gap,Light-toned permeable paving around building to reduce ground reflection,0.34,Long E-W axis; bedrooms on N-NW to catch hill breeze; kitchen on E with chimney vent; central living connects to N garden; covered walkways on S; W facade screened with climber trellis,Tirunelveli
29,Tirunelveli,Warm_Humid,32.7,25.2,29,40.5,19.1,825,"Jun,Jul,Oct,Nov",65.6,60.9,S,11.7,5.47,8.7479,77.6988,Warm-Humid,N-NE,0.92,0.67,0.57,0.34,0.76,200,Clay tile roof on timber truss with ceiling insulation,CRITICAL,MEDIUM,High ceiling (3.5m+) with ceiling fans for enhanced air movement,Perforated brick boundary wall for unobstructed breeze flow,Sloped roof with extended gable vents for attic heat exhaust,0.27,"E-W orientation; bedrooms on N with jalousie windows floor to ceiling; open kitchen on SE with ridge vent; living/dining on NE; wrap-around veranda; W wall has minimal openings, screened by trees",Tirunelveli
30,Tirunelveli,Warm_Humid,32.9,25.4,29.2,40.8,19.3,784,"Jun,Jul,Oct,Nov",64.3,58.6,SW,10.7,5.48,8.7178,77.7227,Warm-Humid,N-NW,0.85,0.71,0.66,0.33,0.83,230,Metal sheet roof with radiant barrier and false ceiling air gap,HIGH,LOW,Veranda-wrapped plan for shaded outdoor circulation and living,Bamboo or thatch secondary roof layer for insulation,Transom windows above all internal doors for whole-house airflow,0.29,Orient E-W; N-facing bedrooms with louvered doors and transom vents; kitchen on SE with stack-effect chimney; open living/dining on N-NE; wide porch on E for morning use; W shaded by dense planting,Tirunelveli
31,Vellore,Composite,35.1,24.1,29.2,43.1,16.6,975,"Sep,Oct,Nov",56.5,52.6,NE,6.7,5.46,12.9098,79.146,Composite,N,0.93,0.87,0.57,0.33,0.84,230,Insulated RCC slab with Mangalore tile over-roof,HIGH,MEDIUM,Adjustable shading devices for seasonal sun angle variation,Moderate thermal mass walls (230mm) with exterior insulation,Operable windows sized for monsoon ventilation and winter warmth,0.29,Orient long axis E-W; bedrooms on N for cool summers with operable S windows for winter sun; kitchen on SE; living room centrally placed with openable walls N and S for seasonal cross-ventilation,Vellore
32,Vellore,Composite,34.6,23.7,29.2,42.4,16,944,"Sep,Oct,Nov",56.9,52.8,S,6.9,5.32,12.9003,79.1462,Composite,NE,0.81,0.8,0.6,0.4,0.79,250,Filler slab with clay tile secondary roof,MEDIUM,MEDIUM,"Transitional buffer spaces (sit-out, verandah) on S and W",Combination roof: insulated RCC slab with clay tile over-roof,Deciduous vine pergola on W facade for seasonal shading,0.29,"E-W oriented plan with adjustable facades; bedrooms NE for summer breeze, with S-facing clerestory for winter warmth; kitchen SE; central courtyard usable in transitional months; W wall shaded by pergola",Vellore
33,Vellore,Composite,35.4,24.4,30.1,43.7,17,903,"Sep,Oct,Nov",58.6,51.5,NW,7.9,5.4,12.941,79.1273,Composite,NW,0.8,0.79,0.61,0.31,0.63,300,RCC slab with reflective paint and planted terrace,HIGH,MEDIUM,Thermal chimney integrated into building core for passive stack ventilation,Cavity wall with ventilated air gap for summer and insulation for winter,Rainwater harvesting integrated into courtyard drainage design,0.28,Long axis E-W; sleeping on N side with high-level ventilators for summer and sealed shutters for winter; living on S for winter solar gain; kitchen SE with dedicated flue; utility rooms buffer W facade,Vellore
34,Vellore,Composite,34.5,23.6,28.8,42.2,15.9,975,"Sep,Oct,Nov",57.8,50.2,W,8.4,5.6,12.9273,79.1269,Composite,N-NE,0.85,0.74,0.69,0.38,0.66,230,Sloped RCC with ventilated ridge and tile cladding,MEDIUM,MEDIUM,Split-level floor plan to facilitate multi-zone natural ventilation,Insulated roof with reflective paint for summer and thermal mass for winter,External movable bamboo screens for seasonal daylight and glare control,0.23,"E-W elongated plan; bedroom zone on N with dual-mode windows (mesh for summer, glass for winter); living on S-SW for afternoon winter warmth; kitchen on E; transitional verandah on S for seasonal use",Vellore
35,Vellore,Composite,34.9,23.9,29.8,42.8,16.3,990,"Sep,Oct,Nov",58.9,52.6,N,9.3,5.69,12.9201,79.1335,Composite,N-NW,0.95,0.81,0.58,0.31,0.81,250,Concrete slab with foam insulation and weatherproof membrane,HIGH,MEDIUM,Phase-change material integrated into ceiling plaster for thermal buffering,Double-glazed windows on W and S with operable outer layer,Stepped building form to maximize self-shading between volumes,0.25,Orient E-W; N-facing bedrooms with monsoon-grade operable windows; S-side living for winter passive heating; kitchen in SE with cross-draft ventilation; service rooms on W as heat buffer; courtyard on N-NE,Vellore
36,Erode,Hot_Dry,34.2,24,29,41.8,16.5,668,"Sep,Oct,Nov",55,46.6,W,7.6,5.76,11.3488,77.7055,Hot-Dry,N,0.9,0.72,0.65,0.29,0.52,300,Thick RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls (300mm+) for high thermal mass and time-lag cooling,Internal courtyard with water body for evaporative cooling,Small recessed windows with deep reveals to limit solar gain,0.16,Compact square plan around central courtyard; thick W wall with no/minimal openings; bedrooms on N with small high windows; kitchen on E to use morning sun; living opens into shaded courtyard,Erode
37,Erode,Hot_Dry,34.2,24,29,41.8,16.5,714,"Sep,Oct,Nov",52,47.7,SE,8.3,5.68,11.3522,77.7333,Hot-Dry,NE,0.92,0.75,0.65,0.28,0.64,350,Mud-lime terrace roof with terracotta tile insulation,LOW,HIGH,Earth-sheltered or semi-basement rooms for ground-coupled cooling,Mud plaster or lime render on exterior for radiant heat reduction,Double-wall cavity construction for thermal insulation,0.2,Inward-looking plan around water-featured courtyard; bedrooms on N and E sides; W wall buffered by store rooms and staircase; kitchen on SE; underground cellar for peak-heat refuge,Erode
38,Erode,Hot_Dry,33.8,23.7,28.5,41.2,16.1,669,"Sep,Oct,Nov",55.2,46.5,N,7,5.54,11.3206,77.7243,Hot-Dry,NW,0.98,0.69,0.62,0.33,0.73,400,Filler slab with mud plaster topping,MEDIUM,HIGH,Evaporative cooling tower (wind-catcher with wet pads),Insulated flat roof with terracotta tile layer for thermal buffer,Underground water tank beneath courtyard for radiant cooling,0.21,Dense cluster plan with shared party walls to reduce exposed surfaces; rooms arranged around internal court; sleeping on N upper floor with terrace; kitchen on ground E side; W wall solid with niches,Erode
39,Erode,Hot_Dry,34.2,24,28.7,41.8,16.5,697,"Sep,Oct,Nov",52.5,49.5,S,7.5,5.79,11.3406,77.7506,Hot-Dry,N-NE,0.89,0.83,0.61,0.31,0.57,300,Double-layer flat roof with ventilated cavity,LOW,HIGH,Cluster housing layout with shared shade corridors,High-albedo exterior finishes to reflect 70%+ solar radiation,Jali screens on W facade to filter harsh afternoon sun,0.16,"Compact plan, courtyard centered; living on N opening to court; bedrooms on NE upper level for night cooling; kitchen E ground floor; W and S walls thick with minimal fenestration; basement for summer retreat",Erode
40,Erode,Hot_Dry,33.7,23.6,28.9,41,15.9,642,"Sep,Oct,Nov",53.3,47.2,N,9.6,5.67,11.3458,77.7362,Hot-Dry,N-NW,0.9,0.65,0.62,0.34,0.58,350,RCC slab with inverted earthen pot insulation layer,MEDIUM,HIGH,Thick rammed-earth walls with embedded cooling pipes,Roof pond with movable insulation for night sky radiative cooling,Dense tree canopy over outdoor living spaces for micro-climate,0.18,Square courtyard plan; N-facing rooms for habitation; W and S walls double-layered with cavity; kitchen on E side; central court with fountain for evaporative cooling; rooms interconnected through court,Erode
41,Thanjavur,Hot_Humid,34.6,25.7,29.8,42.2,18.8,1105,"Sep,Oct,Nov,Dec",69.7,68.9,NE,9.8,5.21,10.7966,79.1583,Warm-Humid,N,0.87,0.7,0.64,0.34,1.05,200,Mangalore tile over ventilated RCC slab,CRITICAL,MEDIUM,Maximize cross-ventilation with large openings on windward walls,Elevated plinth with ventilated crawl space to reduce ground moisture,Reflective cool roof coating with radiant barrier,0.31,Orient long axis E-W; place bedrooms on N side for cool breeze; locate kitchen in SE corner with exhaust vent; living room facing NE for morning light and ventilation,Thanjavur
42,Thanjavur,Hot_Humid,34.8,25.8,29.9,42.6,19.1,1171,"Sep,Oct,Nov,Dec",68.6,66.9,S,9.8,5.15,10.7923,79.1369,Warm-Humid,NE,0.93,0.66,0.65,0.33,1.04,230,Sloped metal roof with radiant barrier and air gap,CRITICAL,LOW,Double-height living spaces for stack-effect ventilation,Deep verandah on S and W facades for rain and sun protection,Permeable compound wall to allow breeze penetration,0.28,"Orient long axis E-W; bedrooms on N with operable windows; wet areas (kitchen, bath) on S side with stack ventilation; open-plan living area connecting N and S for cross-ventilation",Thanjavur
43,Thanjavur,Hot_Humid,34.6,25.7,30.2,42.2,18.8,1173,"Sep,Oct,Nov,Dec",68.2,67.2,N,10.3,5.42,10.8076,79.1443,Warm-Humid,NW,0.89,0.76,0.59,0.35,0.8,250,Filler slab with clay tile overlay,HIGH,MEDIUM,Louvered ventilation panels above windows for continuous airflow,Lightweight insulated roof with ventilated air gap,Landscape buffer with deciduous trees on W side for shade,0.31,E-W elongated plan; master bedroom NE corner for sea breeze; service rooms buffering W wall; staircase on S as thermal buffer; balcony on N for outdoor sleeping,Thanjavur
44,Thanjavur,Hot_Humid,34.7,25.7,30.3,42.3,18.8,1114,"Sep,Oct,Nov,Dec",71,69.6,NE,11.9,5.13,10.8023,79.1417,Warm-Humid,N-NE,0.98,0.7,0.58,0.44,1.01,200,Pitched concrete roof with reflective cool coating,CRITICAL,LOW,Wind-catcher tower integrated into stairwell for passive ventilation,Extended eaves (900mm+) on all sides for rain protection,Light-colored lime-wash exterior walls to reduce solar heat gain,0.32,Long axis E-W; sleeping zones on N-NE for prevailing wind; kitchen on SE with dedicated exhaust shaft; living spaces open to N courtyard; service core acts as thermal barrier on W,Thanjavur
45,Thanjavur,Hot_Humid,34.6,25.6,30.6,42.1,18.7,1025,"Sep,Oct,Nov,Dec",72,67.5,S,10.6,5.33,10.766,79.1425,Warm-Humid,N-NW,0.97,0.73,0.64,0.37,0.96,230,RCC slab with secondary sloped tile roof and ventilated gap,HIGH,MEDIUM,Jaali screen walls for filtered ventilation and privacy,Green roof with drought-resistant species for insulation,Operable clerestory windows for night-flush ventilation,0.34,Orient E-W; bedrooms clustered on N for maximum ventilation; kitchen isolated on SE corner with high-level exhaust; W-facing wall minimized or buffered by storage and utility rooms,Thanjavur
