dim_id,passage_type,min_clear_width_m,recommended_width_m,max_width_m,min_height_m,recommended_height_m,door_type,door_swing_clearance_m,bhk_applicability,nbc_reference,applies_to_floors,accessibility_compliant,drawing_symbol,dimension_annotation,common_tn_practice
11,TOILET_DOOR,0.75,0.75,0.9,2,2.1,SWING_SINGLE,0.75,3BHK,NBC 2016 Part 9 Sec 4,ALL_FLOORS,1,Single line with swing arc 90° outward,750,3BHK uses 0.75m toilet doors in WPC material with 50mm threshold step to contain water per TN plumbing practice
12,TOILET_DOOR,0.75,0.8,0.9,2,2.1,SWING_SINGLE,0.8,4BHK,NBC 2016 Part 9 Sec 4,ALL_FLOORS,1,Single line with swing arc 90° outward,750-800,Premium 4BHK toilet doors 0.75-0.8m in designer WPC or glass-paneled material popular in Chennai luxury segment
13,TOILET_DOOR,0.7,0.75,0.8,2,2.1,SLIDING,0,"2BHK,3BHK,4BHK",NBC 2016 Part 9 Sec 4,ALL_FLOORS,1,Dashed line rectangle pocket or barn track,750,Sliding toilet doors gaining popularity in compact TN apartments where door swing clearance is limited by fixtures
14,KITCHEN_DOOR,0.8,0.9,1.05,2.1,2.1,SWING_SINGLE,0.9,1BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,0,Single line with swing arc 90° inward,800-900,1BHK kitchen often has no door just an opening but where door exists 0.8m flush door is standard TN practice
15,KITCHEN_DOOR,0.8,0.9,1.05,2.1,2.1,SWING_SINGLE,0.9,2BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Single line with swing arc 90° inward,900,2BHK kitchen door 0.9m standard in Tamil Nadu allowing comfortable passage with cooking vessels and trays
16,KITCHEN_DOOR,0.9,0.9,1.05,2.1,2.1,SWING_SINGLE,0.9,3BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Single line with swing arc 90° inward,900,3BHK kitchen maintains 0.9m door with option for glazed panel to allow visual connection while containing odors
17,KITCHEN_DOOR,0.9,1.05,1.2,2.1,2.1,SWING_SINGLE,1.05,4BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Single line with swing arc 90° inward wide,900-1050,4BHK premium kitchen may use 1.05m door or open archway with concealed sliding panel for flexible closure
18,KITCHEN_DOOR,0.9,1.2,1.5,2.1,2.1,SLIDING,0,"2BHK,3BHK,4BHK",NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Dashed line rectangle with track indicator,900-1200,Sliding kitchen doors increasingly common in modern TN apartments allowing open-plan cooking when desired
19,UTILITY_DOOR,0.6,0.75,0.9,2,2.1,SWING_SINGLE,0.75,2BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,0,Single line with swing arc 90° inward,600-750,2BHK utility door 0.6-0.75m basic flush or WPC door sufficient for washing machine and service access
20,UTILITY_DOOR,0.75,0.75,0.9,2,2.1,SWING_SINGLE,0.75,3BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Single line with swing arc 90° inward,750,3BHK utility uses 0.75m water-resistant door with bottom clearance for drainage per Tamil Nadu plumbing standards
21,UTILITY_DOOR,0.75,0.9,1,2,2.1,SWING_SINGLE,0.9,4BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Single line with swing arc 90° inward,750-900,4BHK utility door 0.75-0.9m accommodating larger appliances like front-load washer and dryer common in premium TN homes
22,POOJA_DOOR,0.6,0.75,0.9,2,2.1,SWING_DOUBLE,0.75,1BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,0,Double mini-line with twin swing arcs inward,600-750,1BHK pooja niche may use small double-leaf doors 0.6m total in carved teak per Tamil Nadu devotional tradition
23,POOJA_DOOR,0.6,0.75,0.9,2,2.1,SWING_DOUBLE,0.75,2BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,0,Double mini-line with twin swing arcs inward,750,2BHK pooja room has 0.75m double-leaf carved wooden doors traditional in Tamil Nadu with bell and deity motifs
24,POOJA_DOOR,0.75,0.9,1.05,2.1,2.1,SWING_DOUBLE,0.9,3BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,0,Double line with twin swing arcs inward ornate,750-900,3BHK pooja doors 0.75-0.9m carved double-leaf in teak or rosewood with brass handles per TN temple door style
25,POOJA_DOOR,0.75,0.9,1.05,2.1,2.1,FOLDING,0.3,"3BHK,4BHK",NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,0,Zigzag folding line compact,750-900,Modern TN homes use folding pooja doors in carved wood allowing full opening for festivals and daily prayers alike
26,POOJA_DOOR,0.9,1.05,1.2,2.1,2.4,SWING_DOUBLE,1.05,4BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,0,Double line with twin swing arcs inward tall,900-1050,Premium 4BHK pooja rooms in TN have 0.9-1.05m tall double doors with gopuram-inspired carved top panel
27,INTERNAL_CORRIDOR,0.9,1.05,1.5,2.4,2.7,OPEN_PASSAGE,0,1BHK,NBC 2016 Part 4 Sec 5.4,ALL_FLOORS,0,Parallel dashed lines open both ends,900,1BHK internal corridor minimal 0.9m just enough for single-person movement in compact Tamil Nadu apartment layouts
28,INTERNAL_CORRIDOR,0.9,1.05,1.5,2.4,2.7,OPEN_PASSAGE,0,2BHK,NBC 2016 Part 4 Sec 5.4,ALL_FLOORS,1,Parallel dashed lines open both ends,900-1050,2BHK corridor 0.9-1.05m connecting living to bedrooms is standard passage width in TN residential construction
29,INTERNAL_CORRIDOR,1.05,1.2,1.8,2.4,2.7,OPEN_PASSAGE,0,3BHK,NBC 2016 Part 4 Sec 5.4,ALL_FLOORS,1,Parallel dashed lines open both ends wide,1050-1200,3BHK corridors typically 1.05-1.2m allowing two people to pass comfortably in larger Tamil Nadu family homes
30,INTERNAL_CORRIDOR,1.05,1.2,1.8,2.4,2.7,OPEN_PASSAGE,0,4BHK,NBC 2016 Part 4 Sec 5.4,ALL_FLOORS,1,Parallel dashed lines open both ends wide,1200,Premium 4BHK homes in TN use 1.2m corridors with recessed lighting and display niches as design features
31,CONNECTING_PASSAGE,0.75,0.9,1.2,2.4,2.7,OPEN_PASSAGE,0,"1BHK,2BHK",NBC 2016 Part 4 Sec 5.4,ALL_FLOORS,0,Short parallel dashed lines between rooms,750-900,Short connecting passage between rooms in compact TN plans uses minimum 0.75m for single person access adequately
32,CONNECTING_PASSAGE,0.9,1.05,1.5,2.4,2.7,OPEN_PASSAGE,0,"3BHK,4BHK",NBC 2016 Part 4 Sec 5.4,ALL_FLOORS,1,Short parallel dashed lines between rooms wider,900-1050,Larger TN homes use 0.9-1.05m connecting passages between zones providing comfortable movement between living and bedroom wing
33,ARCHWAY_LIVING_DINING,1.5,1.8,2.4,2.4,2.7,ARCHWAY_NO_DOOR,0,1BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Double curved line with no door symbol open arch,1500-1800,1BHK living-dining is often single space but when separated 1.5m archway creates visual openness in small TN flats
34,ARCHWAY_LIVING_DINING,1.8,2.1,3,2.4,2.7,ARCHWAY_NO_DOOR,0,2BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Double curved line with no door symbol wide arch,1800-2100,2BHK living-dining archway 1.8-2.1m is the most common open-plan element in Tamil Nadu apartment designs
35,ARCHWAY_LIVING_DINING,1.8,2.4,3.6,2.7,3,ARCHWAY_NO_DOOR,0,3BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Double curved line extra wide arch,2100-2400,3BHK uses 2.1-2.4m living-dining archway often with decorative pillar detail popular in premium Tamil Nadu homes
36,ARCHWAY_LIVING_DINING,2.1,2.7,4,2.7,3,ARCHWAY_NO_DOOR,0,4BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Double curved line grand arch with pillar marks,2400-2700,Luxury 4BHK in TN features 2.4-2.7m grand archway between living and dining often with columns and ceiling detail
37,ARCHWAY_LIVING_VERANDAH,1.2,1.5,2.1,2.4,2.7,ARCHWAY_NO_DOOR,0,1BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,0,Double curved line with step symbol at threshold,1200-1500,1BHK verandah-living uses 1.2m archway or door depending on security preference in Tamil Nadu ground floor units
38,ARCHWAY_LIVING_VERANDAH,1.2,1.5,2.4,2.4,2.7,ARCHWAY_NO_DOOR,0,2BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Double curved line with step symbol at threshold,1500,2BHK verandah archway 1.5m standard with provision for grille gate in Tamil Nadu independent houses for security
39,ARCHWAY_LIVING_VERANDAH,1.5,1.8,2.7,2.4,2.7,ARCHWAY_NO_DOOR,0,"3BHK,4BHK",NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Double curved line with step symbol wide opening,1800,3BHK and 4BHK homes in TN use 1.8m verandah opening with option for folding glass doors for weather protection
40,STAIRCASE_WIDTH,0.75,0.9,1.2,2.2,2.4,OPEN_PASSAGE,0,"1BHK,2BHK",NBC 2016 Part 4 Sec 6,ALL_FLOORS,0,Parallel lines with perpendicular tread lines and arrow up,750-900,Small home staircase 0.75-0.9m for single person use with 250mm tread depth standard in TN residential construction
41,STAIRCASE_WIDTH,0.9,1,1.35,2.2,2.4,OPEN_PASSAGE,0,"2BHK,3BHK",NBC 2016 Part 4 Sec 6,ALL_FLOORS,1,Parallel lines with perpendicular tread lines and arrow up,900-1000,2-3BHK staircase 0.9-1.0m width with 150mm riser and 250mm tread per NBC requirements common in TN two-story homes
42,STAIRCASE_WIDTH,1,1.2,1.5,2.2,2.4,OPEN_PASSAGE,0,"3BHK,4BHK",NBC 2016 Part 4 Sec 6,ALL_FLOORS,1,Parallel lines with perpendicular tread lines and arrow up wide,1000-1200,Premium staircase 1.0-1.2m with decorative railing and granite treads standard in larger Tamil Nadu independent houses
43,EMERGENCY_CORRIDOR,0.9,1.05,1.5,2.1,2.4,OPEN_PASSAGE,0,"1BHK,2BHK",NBC 2016 Part 4 Sec 7,ALL_FLOORS,1,Parallel dashed lines with arrow and EXIT text,900,Emergency corridor minimum 0.9m for single-family residential per NBC fire safety applicable to Tamil Nadu CMDA approvals
44,EMERGENCY_CORRIDOR,1.05,1.2,1.8,2.1,2.4,OPEN_PASSAGE,0,"3BHK,4BHK",NBC 2016 Part 4 Sec 7,ALL_FLOORS,1,Parallel dashed lines with arrow and EXIT text wide,1050-1200,Larger homes need 1.05m emergency corridors per NBC with clear signage required for TN municipal building approval
45,SERVICE_PASSAGE,0.6,0.75,1.05,2.1,2.4,OPEN_PASSAGE,0,"1BHK,2BHK",NBC 2016 Part 4 Sec 5.4,GROUND_ONLY,0,Thin dashed lines between kitchen and utility,600-750,Service passage behind kitchen 0.6-0.75m in compact TN homes just wide enough for person carrying provisions
46,SERVICE_PASSAGE,0.75,0.9,1.2,2.1,2.4,OPEN_PASSAGE,0,"2BHK,3BHK",NBC 2016 Part 4 Sec 5.4,GROUND_ONLY,1,Thin dashed lines between service rooms,750-900,Service passage 0.75-0.9m connecting kitchen utility and service door in standard Tamil Nadu mid-range home layouts
47,SERVICE_PASSAGE,0.9,1.05,1.5,2.1,2.4,OPEN_PASSAGE,0,"3BHK,4BHK",NBC 2016 Part 4 Sec 5.4,GROUND_ONLY,1,Thin dashed lines between service rooms wide,900-1050,Premium service passage 0.9-1.05m in large TN homes allowing trolley movement for catering during family functions
48,CAR_PORCH_ENTRY,2.4,3,3.6,,,OPEN_PASSAGE,0,2BHK,NBC 2016 Part 4 Sec 5,GROUND_ONLY,0,Wide opening lines with dashed overhead beam,2400-3000,2BHK car porch 2.4-3.0m for single car entry standard on 30-foot frontage plots common in Tamil Nadu residential layouts
49,CAR_PORCH_ENTRY,3,3.6,5,,,OPEN_PASSAGE,0,3BHK,NBC 2016 Part 4 Sec 5,GROUND_ONLY,1,Wide opening lines with dashed overhead beam,3000-3600,3BHK car porch 3.0-3.6m accommodating SUV or two-wheeler alongside car typical in TN independent houses
50,CAR_PORCH_ENTRY,3.6,5,6,,,OPEN_PASSAGE,0,4BHK,NBC 2016 Part 4 Sec 5,GROUND_ONLY,1,Wide double opening with pillar marks center,3600-5000,Premium 4BHK double car porch 3.6-5.0m for two vehicles with central pillar standard in luxury TN home designs
51,UTILITY_DOOR,0.6,0.75,0.9,2,2.1,SWING_SINGLE,0.75,"1BHK,2BHK,3BHK,4BHK",NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,0,Single line with swing arc 90° inward,600-750,Store room door 0.6-0.75m basic flush door sufficient for occasional access to stored household items in TN homes
52,INTERNAL_CORRIDOR,0.9,1.05,1.5,2.4,2.7,OPEN_PASSAGE,0,"2BHK,3BHK,4BHK",NBC 2016 Part 4 Sec 5.4,UPPER_ONLY,1,Parallel dashed lines open both ends upper floor,900-1050,Upper floor corridor 0.9-1.05m connecting staircase landing to bedrooms on first floor of TN two-story houses
53,BEDROOM_DOOR,0.9,0.9,1.05,2.1,2.1,SWING_SINGLE,0.9,"2BHK,3BHK,4BHK",NBC 2016 Part 4 Sec 6,UPPER_ONLY,0,Single line with swing arc 90° inward terrace access,900,Terrace access door 0.9m at staircase head opening onto flat roof used for drying and recreation in TN homes
54,ARCHWAY_LIVING_VERANDAH,1.5,2.1,3,2.7,3,ARCHWAY_NO_DOOR,0,"3BHK,4BHK",NBC 2016 Part 8 Sec 2,GROUND_ONLY,1,Double curved line courtyard arch opening,1500-2100,Courtyard opening from living 1.5-2.1m wide open archway recreating traditional mutram experience in modern TN homes
55,KITCHEN_DOOR,0.9,1.2,1.8,2.1,2.1,FOLDING,0.3,"3BHK,4BHK",NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Zigzag folding line kitchen partition,900-1200,Folding kitchen partition 0.9-1.2m allows open-plan cooking during parties and closed kitchen during daily use in TN homes
56,MAIN_ENTRANCE_DOOR,0.75,0.9,1,2.1,2.1,SWING_SINGLE,0.9,"2BHK,3BHK,4BHK",NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,0,Single line with swing arc 90° outward service,750-900,Service entrance door 0.75-0.9m at rear or side of house for domestic help access standard in TN independent houses
57,TOILET_DOOR,0.9,1,1.2,2,2.1,SLIDING,0,"3BHK,4BHK",NBC 2016 Part 9 Sec 4,ALL_FLOORS,1,Dashed rectangle wide sliding accessible,900-1000,Accessible toilet sliding door 0.9-1.0m for wheelchair access per universal design standards in premium TN apartments
58,CONNECTING_PASSAGE,0.75,0.9,1.2,2.4,2.7,ARCHWAY_NO_DOOR,0,2BHK,NBC 2016 Part 4 Sec 5.4,ALL_FLOORS,1,Curved line open arch between adjacent rooms,750-900,Short archway connection between adjacent rooms 0.75-0.9m used in TN homes to visually link spaces without doors
59,INTERNAL_CORRIDOR,1.2,1.5,2.1,2.4,3,OPEN_PASSAGE,0,4BHK,NBC 2016 Part 4 Sec 5.4,GROUND_ONLY,1,Parallel dashed lines grand corridor,1200-1500,Grand central corridor 1.2-1.5m in premium 4BHK TN homes serving as gallery with display niches and accent lighting
60,EMERGENCY_CORRIDOR,0.75,0.9,1.2,2.1,2.4,OPEN_PASSAGE,0,1BHK,NBC 2016 Part 4 Sec 7,ALL_FLOORS,0,Dashed lines with exit arrow small,750-900,Compact 1BHK emergency path 0.75-0.9m typically through kitchen service door to side passage in TN ground floor units
